Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-12.107
-89,0,-12.107
-88,0,-12.107
-87,0,-12.107
-86,0,-12.107
-85,0,-12.107
-84,0,-12.107
-83,0,-12.107
-82,0,-12.107
-81,0,-12.107
-80,0,-12.107
-79,0,-12.107
-78,0,-12.107
-77,0,-12.107
-76,0,-12.107
-75,0,-12.107
-74,0,-12.107
-73,0,-12.107
-72,0,-12.107
-71,0,-12.107
-70,0,-12.107
-69,0,-12.107
-68,0,-12.107
-67,0,-12.107
-66,0,-12.107
-65,0,-12.107
-64,0,-12.107
-63,0,-12.107
-62,0,-12.107
-61,0,-12.107
-60,0,-12.107
-59,0,-12.107
-58,0,-12.107
-57,0,-12.107
-56,0,-12.107
-55,0,-12.107
-54,0,-12.107
-53,0,-12.107
-52,0,-12.107
-51,0,-12.107
-50,0,-12.107
-49,0,-12.107
-48,0,-12.107
-47,0,-12.107
-46,0,-12.107
-45,0,-12.107
-44,0,-12.107
-43,0,-12.107
-42,0,-12.107
-41,0,-12.107
-40,0,-12.107
-39,0,-12.107
-38,0,-12.107
-37,0,-12.107
-36,0,-12.107
-35,0,-12.107
-34,0,-12.107
-33,0,-12.107
-32,0,-12.107
-31,0,-12.107
-30,0,-12.107
-29,0,-12.107
-28,0,-12.107
-27,0,-12.107
-26,0,-12.107
-25,0,-12.107
-24,0,-12.107
-23,0,-12.107
-22,0,-12.107
-21,0,-12.107
-20,0,-12.107
-19,0,-12.107
-18,0,-12.107
-17,0,-12.107
-16,0,-12.107
-15,0,-12.107
-14,0,-12.107
-13,0,-12.107
-12,0,-12.107
-11,0,-12.107
-10,0,-12.107
-9,0,-12.107
-8,0,-12.107
-7,0,-12.107
-6,0,-12.107
-5,0,-12.107
-4,0,-12.107
-3,0,-12.107
-2,0,-12.107
-1,0,-12.107
0,0,-12.107
1,0,-12.107
2,0,-12.107
3,0,-12.107
4,0,-12.107
5,0,-12.107
6,0,-12.107
7,0,-12.107
8,0,-12.107
9,0,-12.107
10,0,-12.107
11,0,-12.107
12,0,-12.107
13,0,-12.107
14,0,-12.107
15,0,-12.107
16,0,-12.107
17,0,-12.107
18,0,-12.107
19,0,-12.107
20,0,-12.107
21,0,-12.107
22,0,-12.107
23,0,-12.107
24,0,-12.107
25,0,-12.107
26,0,-12.107
27,0,-12.107
28,0,-12.107
29,0,-12.107
30,0,-12.107
31,0,-12.107
32,0,-12.107
33,0,-12.107
34,0,-12.107
35,0,-12.107
36,0,-12.107
37,0,-12.107
38,0,-12.107
39,0,-12.107
40,0,-12.107
41,0,-12.107
42,0,-12.107
43,0,-12.107
44,0,-12.107
45,0,-12.107
