Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-30.3441
-89,0,-30.3441
-88,0,-30.3441
-87,0,-30.3441
-86,0,-30.3441
-85,0,-30.3441
-84,0,-30.3441
-83,0,-30.3441
-82,0,-30.3441
-81,0,-30.3441
-80,0,-30.3441
-79,0,-30.3441
-78,0,-30.3441
-77,0,-30.3441
-76,0,-30.3441
-75,0,-30.3441
-74,0,-30.3441
-73,0,-30.3441
-72,0,-30.3441
-71,0,-30.3441
-70,0,-30.3441
-69,0,-30.3441
-68,0,-30.3441
-67,0,-30.3441
-66,0,-30.3441
-65,0,-30.3441
-64,0,-30.3441
-63,0,-30.3441
-62,0,-30.3441
-61,0,-30.3441
-60,0,-30.3441
-59,0,-30.3441
-58,0,-30.3441
-57,0,-30.3441
-56,0,-30.3441
-55,0,-30.3441
-54,0,-30.3441
-53,0,-30.3441
-52,0,-30.3441
-51,0,-30.3441
-50,0,-30.3441
-49,0,-30.3441
-48,0,-30.3441
-47,0,-30.3441
-46,0,-30.3441
-45,0,-30.3441
-44,0,-30.3441
-43,0,-30.3441
-42,0,-30.3441
-41,0,-30.3441
-40,0,-30.3441
-39,0,-30.3441
-38,0,-30.3441
-37,0,-30.3441
-36,0,-30.3441
-35,0,-30.3441
-34,0,-30.3441
-33,0,-30.3441
-32,0,-30.3441
-31,0,-30.3441
-30,0,-30.3441
-29,0,-30.3441
-28,0,-30.3441
-27,0,-30.3441
-26,0,-30.3441
-25,0,-30.3441
-24,0,-30.3441
-23,0,-30.3441
-22,0,-30.3441
-21,0,-30.3441
-20,0,-30.3441
-19,0,-30.3441
-18,0,-30.3441
-17,0,-30.3441
-16,0,-30.3441
-15,0,-30.3441
-14,0,-30.3441
-13,0,-30.3441
-12,0,-30.3441
-11,0,-30.3441
-10,0,-30.3441
-9,0,-30.3441
-8,0,-30.3441
-7,0,-30.3441
-6,0,-30.3441
-5,0,-30.3441
-4,0,-30.3441
-3,0,-30.3441
-2,0,-30.3441
-1,0,-30.3441
0,0,-30.3441
1,0,-30.3441
2,0,-30.3441
3,0,-30.3441
4,0,-30.3441
5,0,-30.3441
6,0,-30.3441
7,0,-30.3441
8,0,-30.3441
9,0,-30.3441
10,0,-30.3441
11,0,-30.3441
12,0,-30.3441
13,0,-30.3441
14,0,-30.3441
15,0,-30.3441
16,0,-30.3441
17,0,-30.3441
18,0,-30.3441
19,0,-30.3441
20,0,-30.3441
21,0,-30.3441
22,0,-30.3441
23,0,-30.3441
24,0,-30.3441
25,0,-30.3441
26,0,-30.3441
27,0,-30.3441
28,0,-30.3441
29,0,-30.3441
30,0,-30.3441
31,0,-30.3441
32,0,-30.3441
33,0,-30.3441
34,0,-30.3441
35,0,-30.3441
36,0,-30.3441
37,0,-30.3441
38,0,-30.3441
39,0,-30.3441
40,0,-30.3441
41,0,-30.3441
42,0,-30.3441
43,0,-30.3441
44,0,-30.3441
45,0,-30.3441
46,0,-30.3441
47,0,-30.3441
48,0,-30.3441
49,0,-30.3441
50,0,-30.3441
51,0,-30.3441
52,0,-30.3441
53,0,-30.3441
54,0,-30.3441
55,0,-30.3441
56,0,-30.3441
57,0,-30.3441
58,0,-30.3441
59,0,-30.3441
60,0,-30.3441
61,0,-30.3441
62,0,-30.3441
63,0,-30.3441
64,0,-30.3441
65,0,-30.3441
66,0,-30.3441
67,0,-30.3441
68,0,-30.3441
69,0,-30.3441
70,0,-30.3441
71,0,-30.3441
72,0,-30.3441
73,0,-30.3441
74,0,-30.3441
75,0,-30.3441
76,0,-30.3441
77,0,-30.3441
78,0,-30.3441
79,0,-30.3441
80,0,-30.3441
81,0,-30.3441
82,0,-30.3441
83,0,-30.3441
84,0,-30.3441
85,0,-30.3441
86,0,-30.3441
87,0,-30.3441
88,0,-30.3441
89,0,-30.3441
90,0,-30.3441
-90,1,-29.9028
-89,1,-29.9163
-88,1,-29.9305
-87,1,-29.9454
-86,1,-29.961
-85,1,-29.9774
-84,1,-29.9945
-83,1,-30.0124
-82,1,-30.031
-81,1,-30.0503
-80,1,-30.0705
-79,1,-30.0914
-78,1,-30.1131
-77,1,-30.1356
-76,1,-30.1588
-75,1,-30.1828
-74,1,-30.2075
-73,1,-30.2331
-72,1,-30.2593
-71,1,-30.2864
-70,1,-30.3141
-69,1,-30.3426
-68,1,-30.3718
-67,1,-30.4017
-66,1,-30.4323
-65,1,-30.4636
-64,1,-30.4955
-63,1,-30.528
-62,1,-30.5612
-61,1,-30.595
-60,1,-30.6293
-59,1,-30.6642
-58,1,-30.6997
-57,1,-30.7356
-56,1,-30.772
-55,1,-30.8088
-54,1,-30.846
-53,1,-30.8837
-52,1,-30.9216
-51,1,-30.9599
-50,1,-30.9984
-49,1,-31.0371
-48,1,-31.076
-47,1,-31.1151
-46,1,-31.1543
-45,1,-31.1935
-44,1,-31.2327
-43,1,-31.2719
-42,1,-31.311
-41,1,-31.35
-40,1,-31.3888
-39,1,-31.4273
-38,1,-31.4655
-37,1,-31.5034
-36,1,-31.5409
-35,1,-31.5779
-34,1,-31.6145
-33,1,-31.6504
-32,1,-31.6858
-31,1,-31.7205
-30,1,-31.7544
-29,1,-31.7876
-28,1,-31.8199
-27,1,-31.8514
-26,1,-31.882
-25,1,-31.9115
-24,1,-31.9401
-23,1,-31.9676
-22,1,-31.994
-21,1,-32.0193
-20,1,-32.0434
-19,1,-32.0662
-18,1,-32.0879
-17,1,-32.1083
-16,1,-32.1274
-15,1,-32.1452
-14,1,-32.1617
-13,1,-32.1769
-12,1,-32.1907
-11,1,-32.2032
-10,1,-32.2144
-9,1,-32.2242
-8,1,-32.2327
-7,1,-32.2399
-6,1,-32.2457
-5,1,-32.2503
-4,1,-32.2537
-3,1,-32.2558
-2,1,-32.2566
-1,1,-32.2563
0,1,-32.2549
1,1,-32.1733
2,1,-32.1702
3,1,-32.1662
4,1,-32.1612
5,1,-32.1553
6,1,-32.1486
7,1,-32.141
8,1,-32.1327
9,1,-32.1236
10,1,-32.1138
11,1,-32.1034
12,1,-32.0923
13,1,-32.0806
14,1,-32.0683
15,1,-32.0555
16,1,-32.0423
17,1,-32.0285
18,1,-32.0144
19,1,-31.9998
20,1,-31.9849
21,1,-31.9696
22,1,-31.954
23,1,-31.9381
24,1,-31.9219
25,1,-31.9055
26,1,-31.8888
27,1,-31.872
28,1,-31.8549
29,1,-31.8376
30,1,-31.8202
31,1,-31.8026
32,1,-31.7848
33,1,-31.7669
34,1,-31.7488
35,1,-31.7306
36,1,-31.7123
37,1,-31.6938
38,1,-31.6751
39,1,-31.6563
40,1,-31.6374
41,1,-31.6183
42,1,-31.5991
43,1,-31.5797
44,1,-31.5601
45,1,-31.5404
46,1,-31.5205
47,1,-31.5004
48,1,-31.4802
49,1,-31.4597
50,1,-31.439
51,1,-31.4181
52,1,-31.397
53,1,-31.3756
54,1,-31.3541
55,1,-31.3322
56,1,-31.3101
57,1,-31.2877
58,1,-31.2651
59,1,-31.2422
60,1,-31.219
61,1,-31.1955
62,1,-31.1718
63,1,-31.1477
64,1,-31.1233
65,1,-31.0987
66,1,-31.0737
67,1,-31.0484
68,1,-31.0228
69,1,-30.9969
70,1,-30.9707
71,1,-30.9442
72,1,-30.9173
73,1,-30.8902
74,1,-30.8628
75,1,-30.8351
76,1,-30.807
77,1,-30.7787
78,1,-30.7501
79,1,-30.7213
80,1,-30.6921
81,1,-30.6627
82,1,-30.6331
83,1,-30.6031
84,1,-30.573
85,1,-30.5426
86,1,-30.512
87,1,-30.4812
88,1,-30.4502
89,1,-30.419
90,1,-30.3877
-90,2,-27.5103
-89,2,-27.5265
-88,2,-27.5447
-87,2,-27.5651
-86,2,-27.5875
-85,2,-27.612
-84,2,-27.6385
-83,2,-27.667
-82,2,-27.6975
-81,2,-27.73
-80,2,-27.7644
-79,2,-27.8008
-78,2,-27.8391
-77,2,-27.8793
-76,2,-27.9214
-75,2,-27.9654
-74,2,-28.0113
-73,2,-28.0591
-72,2,-28.1087
-71,2,-28.1603
-70,2,-28.2137
-69,2,-28.269
-68,2,-28.3261
-67,2,-28.3852
-66,2,-28.4462
-65,2,-28.5091
-64,2,-28.5739
-63,2,-28.6407
-62,2,-28.7094
-61,2,-28.7802
-60,2,-28.8529
-59,2,-28.9277
-58,2,-29.0046
-57,2,-29.0835
-56,2,-29.1646
-55,2,-29.2478
-54,2,-29.3332
-53,2,-29.4208
-52,2,-29.5107
-51,2,-29.6028
-50,2,-29.6973
-49,2,-29.794
-48,2,-29.8932
-47,2,-29.9948
-46,2,-30.0987
-45,2,-30.2051
-44,2,-30.314
-43,2,-30.4253
-42,2,-30.5391
-41,2,-30.6553
-40,2,-30.774
-39,2,-30.8951
-38,2,-31.0186
-37,2,-31.1444
-36,2,-31.2725
-35,2,-31.4027
-34,2,-31.535
-33,2,-31.6693
-32,2,-31.8054
-31,2,-31.9432
-30,2,-32.0824
-29,2,-32.2228
-28,2,-32.3642
-27,2,-32.5063
-26,2,-32.6488
-25,2,-32.7912
-24,2,-32.9333
-23,2,-33.0745
-22,2,-33.2144
-21,2,-33.3526
-20,2,-33.4884
-19,2,-33.6213
-18,2,-33.7507
-17,2,-33.876
-16,2,-33.9966
-15,2,-34.1118
-14,2,-34.2211
-13,2,-34.3238
-12,2,-34.4194
-11,2,-34.5074
-10,2,-34.5872
-9,2,-34.6586
-8,2,-34.7212
-7,2,-34.7747
-6,2,-34.8191
-5,2,-34.8543
-4,2,-34.8804
-3,2,-34.8976
-2,2,-34.9061
-1,2,-34.9064
0,2,-34.8987
1,2,-34.7005
2,2,-34.6799
3,2,-34.654
4,2,-34.6236
5,2,-34.5891
6,2,-34.5512
7,2,-34.5104
8,2,-34.4672
9,2,-34.4221
10,2,-34.3757
11,2,-34.3285
12,2,-34.2808
13,2,-34.2331
14,2,-34.1857
15,2,-34.139
16,2,-34.0932
17,2,-34.0487
18,2,-34.0056
19,2,-33.9641
20,2,-33.9244
21,2,-33.8866
22,2,-33.8507
23,2,-33.8169
24,2,-33.7852
25,2,-33.7555
26,2,-33.7279
27,2,-33.7023
28,2,-33.6786
29,2,-33.6568
30,2,-33.6367
31,2,-33.6182
32,2,-33.6012
33,2,-33.5855
34,2,-33.5709
35,2,-33.5573
36,2,-33.5445
37,2,-33.5322
38,2,-33.5203
39,2,-33.5086
40,2,-33.4968
41,2,-33.4848
42,2,-33.4722
43,2,-33.459
44,2,-33.4449
45,2,-33.4297
46,2,-33.4132
47,2,-33.3953
48,2,-33.3757
49,2,-33.3544
50,2,-33.3312
51,2,-33.3059
52,2,-33.2785
53,2,-33.249
54,2,-33.2171
55,2,-33.1829
56,2,-33.1464
57,2,-33.1075
58,2,-33.0662
59,2,-33.0227
60,2,-32.9768
61,2,-32.9287
62,2,-32.8784
63,2,-32.826
64,2,-32.7717
65,2,-32.7155
66,2,-32.6574
67,2,-32.5978
68,2,-32.5366
69,2,-32.474
70,2,-32.4101
71,2,-32.345
72,2,-32.279
73,2,-32.212
74,2,-32.1443
75,2,-32.0759
76,2,-32.007
77,2,-31.9377
78,2,-31.868
79,2,-31.7982
80,2,-31.7282
81,2,-31.6583
82,2,-31.5884
83,2,-31.5186
84,2,-31.4491
85,2,-31.3798
86,2,-31.3108
87,2,-31.2423
88,2,-31.1741
89,2,-31.1065
90,2,-31.0393
-90,3,-26.2015
-89,3,-26.2529
-88,3,-26.3065
-87,3,-26.3622
-86,3,-26.4199
-85,3,-26.4795
-84,3,-26.5409
-83,3,-26.604
-82,3,-26.6687
-81,3,-26.735
-80,3,-26.8027
-79,3,-26.8718
-78,3,-26.9421
-77,3,-27.0136
-76,3,-27.0862
-75,3,-27.1597
-74,3,-27.2342
-73,3,-27.3095
-72,3,-27.3856
-71,3,-27.4624
-70,3,-27.5399
-69,3,-27.6179
-68,3,-27.6964
-67,3,-27.7755
-66,3,-27.855
-65,3,-27.9349
-64,3,-28.0152
-63,3,-28.0959
-62,3,-28.177
-61,3,-28.2585
-60,3,-28.3405
-59,3,-28.423
-58,3,-28.506
-57,3,-28.5897
-56,3,-28.6742
-55,3,-28.7594
-54,3,-28.8456
-53,3,-28.933
-52,3,-29.0216
-51,3,-29.1117
-50,3,-29.2034
-49,3,-29.297
-48,3,-29.3927
-47,3,-29.4907
-46,3,-29.5914
-45,3,-29.6949
-44,3,-29.8017
-43,3,-29.912
-42,3,-30.0262
-41,3,-30.1446
-40,3,-30.2676
-39,3,-30.3955
-38,3,-30.5288
-37,3,-30.6678
-36,3,-30.813
-35,3,-30.9648
-34,3,-31.1237
-33,3,-31.29
-32,3,-31.4643
-31,3,-31.6469
-30,3,-31.8384
-29,3,-32.0393
-28,3,-32.2499
-27,3,-32.4707
-26,3,-32.7021
-25,3,-32.9447
-24,3,-33.1986
-23,3,-33.4643
-22,3,-33.7419
-21,3,-34.0317
-20,3,-34.3337
-19,3,-34.6477
-18,3,-34.9734
-17,3,-35.3101
-16,3,-35.6568
-15,3,-36.0121
-14,3,-36.374
-13,3,-36.7398
-12,3,-37.1058
-11,3,-37.4677
-10,3,-37.8199
-9,3,-38.156
-8,3,-38.4683
-7,3,-38.7489
-6,3,-38.9894
-5,3,-39.1823
-4,3,-39.3211
-3,3,-39.4016
-2,3,-39.4226
-1,3,-39.3854
0,3,-39.2945
1,3,-38.732
2,3,-38.5613
3,3,-38.3677
4,3,-38.1578
5,3,-37.9374
6,3,-37.7118
7,3,-37.4853
8,3,-37.2616
9,3,-37.0435
10,3,-36.8334
11,3,-36.633
12,3,-36.4437
13,3,-36.2664
14,3,-36.1018
15,3,-35.9502
16,3,-35.8119
17,3,-35.687
18,3,-35.5753
19,3,-35.4766
20,3,-35.3907
21,3,-35.3171
22,3,-35.2555
23,3,-35.2052
24,3,-35.1658
25,3,-35.1366
26,3,-35.1169
27,3,-35.1059
28,3,-35.1029
29,3,-35.1069
30,3,-35.117
31,3,-35.1322
32,3,-35.1515
33,3,-35.1737
34,3,-35.1977
35,3,-35.2223
36,3,-35.2463
37,3,-35.2683
38,3,-35.2872
39,3,-35.3018
40,3,-35.3108
41,3,-35.3133
42,3,-35.308
43,3,-35.2942
44,3,-35.2712
45,3,-35.2382
46,3,-35.195
47,3,-35.1412
48,3,-35.0769
49,3,-35.0021
50,3,-34.9172
51,3,-34.8226
52,3,-34.7188
53,3,-34.6066
54,3,-34.4868
55,3,-34.3601
56,3,-34.2275
57,3,-34.0898
58,3,-33.9478
59,3,-33.8024
60,3,-33.6545
61,3,-33.5048
62,3,-33.3539
63,3,-33.2026
64,3,-33.0515
65,3,-32.901
66,3,-32.7516
67,3,-32.6039
68,3,-32.4581
69,3,-32.3145
70,3,-32.1735
71,3,-32.0352
72,3,-31.8999
73,3,-31.7677
74,3,-31.6387
75,3,-31.5131
76,3,-31.3908
77,3,-31.272
78,3,-31.1567
79,3,-31.0448
80,3,-30.9364
81,3,-30.8314
82,3,-30.7298
83,3,-30.6317
84,3,-30.5368
85,3,-30.4452
86,3,-30.3568
87,3,-30.2715
88,3,-30.1892
89,3,-30.1099
90,3,-30.0335
-90,4,-26.3405
-89,4,-26.4498
-88,4,-26.5623
-87,4,-26.6779
-86,4,-26.7965
-85,4,-26.9181
-84,4,-27.0425
-83,4,-27.1698
-82,4,-27.2998
-81,4,-27.4324
-80,4,-27.5675
-79,4,-27.7049
-78,4,-27.8445
-77,4,-27.9861
-76,4,-28.1296
-75,4,-28.2747
-74,4,-28.4211
-73,4,-28.5686
-72,4,-28.7169
-71,4,-28.8656
-70,4,-29.0143
-69,4,-29.1626
-68,4,-29.3101
-67,4,-29.4563
-66,4,-29.6006
-65,4,-29.7424
-64,4,-29.8814
-63,4,-30.0167
-62,4,-30.1478
-61,4,-30.2742
-60,4,-30.3952
-59,4,-30.5103
-58,4,-30.6189
-57,4,-30.7206
-56,4,-30.815
-55,4,-30.9019
-54,4,-30.9809
-53,4,-31.052
-52,4,-31.1153
-51,4,-31.1709
-50,4,-31.2191
-49,4,-31.2603
-48,4,-31.2952
-47,4,-31.3243
-46,4,-31.3485
-45,4,-31.3686
-44,4,-31.3856
-43,4,-31.4005
-42,4,-31.4144
-41,4,-31.4285
-40,4,-31.4438
-39,4,-31.4615
-38,4,-31.4829
-37,4,-31.5091
-36,4,-31.5412
-35,4,-31.5805
-34,4,-31.6282
-33,4,-31.6854
-32,4,-31.7532
-31,4,-31.833
-30,4,-31.9259
-29,4,-32.0331
-28,4,-32.1558
-27,4,-32.2955
-26,4,-32.4535
-25,4,-32.6311
-24,4,-32.8301
-23,4,-33.052
-22,4,-33.2986
-21,4,-33.5721
-20,4,-33.8746
-19,4,-34.2086
-18,4,-34.577
