alpha11,beta11,az_angle,el_angle,simulation_time
2,2,0,90,11.5624237061
2,2,0,95,8.53102111816
2,2,0,100,8.21813964844
2,2,0,105,8.07748413086
2,2,0,110,8.17190551758
2,2,5,90,8.12480163574
2,2,5,95,8.34381866455
2,2,5,100,8.32778167725
2,2,5,105,8.10917663574
2,2,5,110,8.20287322998
2,2,10,90,8.20295715332
2,2,10,95,8.40563201904
2,2,10,100,8.24979400635
2,2,10,105,8.23367309570
2,2,10,110,8.29660034180
2,2,15,90,8.15583038330
2,2,15,95,8.17154693604
2,2,15,100,8.40613555908
2,2,15,105,8.42120361328
2,2,15,110,8.18726348877
2,2,20,90,8.18726348877
2,2,20,95,8.31224060059
2,2,20,100,8.09351348877
2,2,20,105,8.29667663574
2,2,20,110,8.32794952393
2,4,0,90,8.46825408936
2,4,0,95,8.28085327148
2,4,0,100,8.28129577637
2,4,0,105,8.38990020752
2,4,0,110,8.49996948242
2,4,5,90,8.39037322998
2,4,5,95,8.15608215332
2,4,5,100,8.21867370605
2,4,5,105,8.32821655273
2,4,5,110,8.32791137695
2,4,10,90,8.37478637695
2,4,10,95,8.34343719482
2,4,10,100,8.17162322998
2,4,10,105,8.26547241211
2,4,10,110,8.17133331299
2,4,15,90,8.24998474121
2,4,15,95,8.45280456543
2,4,15,100,8.26547241211
2,4,15,105,8.29657745361
2,4,15,110,8.78099060059
2,4,20,90,8.18739318848
2,4,20,95,8.42167663574
2,4,20,100,8.49980926514
2,4,20,105,8.28143310547
2,4,20,110,8.18729400635
2,6,0,90,8.24949645996
2,6,0,95,8.35907745361
2,6,0,100,8.23371887207
2,6,0,105,8.31253814697
2,6,0,110,8.49973297119
2,6,5,90,8.26517486572
2,6,5,95,8.70261383057
2,6,5,100,8.57757568359
2,6,5,105,8.35911560059
2,6,5,110,8.51517486572
2,6,10,90,8.46849060059
2,6,10,95,8.84352874756
2,6,10,100,8.65598297119
2,6,10,105,8.28085327148
2,6,10,110,8.60906982422
2,6,15,90,8.60915374756
2,6,15,95,8.57774353027
2,6,15,100,8.35894012451
2,6,15,105,8.46824645996
2,6,15,110,8.49987792969
2,6,20,90,8.67152404785
2,6,20,95,8.42124938965
2,6,20,100,8.60908508301
2,6,20,105,8.46820831299
2,6,20,110,8.54627990723
2,8,0,90,8.57775115967
2,8,0,95,8.46813201904
2,8,0,100,9.12459564209
2,8,0,105,8.49980163574
2,8,0,110,8.54638671875
2,8,5,90,8.64034271240
2,8,5,95,8.59345245361
2,8,5,100,8.60903930664
2,8,5,105,8.74967193604
2,8,5,110,8.49980163574
2,8,10,90,8.65596008301
2,8,10,95,8.57746887207
2,8,10,100,8.92133331299
2,8,10,105,8.78099060059
2,8,10,110,8.68721771240
2,8,15,90,8.65605163574
2,8,15,95,8.73371887207
2,8,15,100,8.62471771240
2,8,15,105,8.73371124268
2,8,15,110,8.49982452393
2,8,20,90,8.68724060059
2,8,20,95,8.64027404785
2,8,20,100,8.71829986572
2,8,20,105,8.76525115967
2,8,20,110,8.67156219482
2,10,0,90,8.73420715332
2,10,0,95,8.59342956543
2,10,0,100,8.73420715332
2,10,0,105,8.53076934814
2,10,0,110,8.87454986572
2,10,5,90,8.87461090088
2,10,5,95,9.89028167725
2,10,5,100,8.85893249512
2,10,5,105,8.70286560059
2,10,5,110,8.67161560059
2,10,10,90,8.84339141846
2,10,10,95,8.65588378906
2,10,10,100,8.73416900635
2,10,10,105,8.74948883057
2,10,10,110,8.59310150146
2,10,15,90,8.81200408936
2,10,15,95,8.78092956543
2,10,15,100,8.82781219482
2,10,15,105,8.85916137695
2,10,15,110,8.78098297119
2,10,20,90,8.81216430664
2,10,20,95,8.54657745361
2,10,20,100,8.73400878906
2,10,20,105,8.85875701904
2,10,20,110,9.84340667725
4,2,0,90,8.84350585938
4,2,0,95,8.90596008301
4,2,0,100,9.87469482422
4,2,0,105,8.87476348877
4,2,0,110,9.88995361328
4,2,5,90,9.95272827148
4,2,5,95,8.79632568359
4,2,5,100,9.90554809570
4,2,5,105,10.0777740479
4,2,5,110,9.93728637695
4,2,10,90,8.92153930664
4,2,10,95,10.1872177124
4,2,10,100,9.98400115967
4,2,10,105,9.93729400635
4,2,10,110,8.90605926514
4,2,15,90,8.87479400635
4,2,15,95,10.0153732300
4,2,15,100,10.1557235718
4,2,15,105,9.92155456543
4,2,15,110,8.90579223633
4,2,20,90,10.0153350830
4,2,20,95,9.92153167725
4,2,20,100,10.2183151245
4,2,20,105,8.84331512451
4,2,20,110,10.0931625366
4,4,0,90,9.95288085938
4,4,0,95,9.90605926514
4,4,0,100,9.85884094238
4,4,0,105,8.90589904785
4,4,0,110,10.1868133545
4,4,5,90,10.2338256836
4,4,5,95,10.1715087891
4,4,5,100,9.99979400635
4,4,5,105,8.90602111816
4,4,5,110,9.87471771240
4,4,10,90,9.87477874756
4,4,10,95,10.0310134888
4,4,10,100,9.99978637695
4,4,10,105,9.89033508301
4,4,10,110,8.98414611816
4,4,15,90,8.93725585938
4,4,15,95,9.95272064209
4,4,15,100,10.2808609009
4,4,15,105,8.93699645996
4,4,15,110,10.0153350830
4,4,20,90,9.99942779541
4,4,20,95,10.0153503418
4,4,20,100,10.2028808594
4,4,20,105,8.96820831299
4,4,20,110,10.0309906006
4,6,0,90,10.1247253418
4,6,0,95,10.0308990479
4,6,0,100,10.1560058594
4,6,0,105,9.95287322998
4,6,0,110,10.0310287476
4,6,5,90,10.0621795654
4,6,5,95,10.2808074951
4,6,5,100,10.3122100830
4,6,5,105,10.1087951660
4,6,5,110,10.0465927124
4,6,10,90,10.1557769775
4,6,10,95,10.1399841309
4,6,10,100,10.2808151245
4,6,10,105,10.0778579712
4,6,10,110,10.0152664185
4,6,15,90,10.2962570190
4,6,15,95,10.2810211182
4,6,15,100,10.0779190063
4,6,15,105,10.0309753418
4,6,15,110,9.98406219482
4,6,20,90,10.2653656006
4,6,20,95,10.0309219360
4,6,20,100,10.1872406006
4,6,20,105,10.2339935303
4,6,20,110,10.1715927124
4,8,0,90,10.2184600830
4,8,0,95,10.2497406006
4,8,0,100,10.2028198242
4,8,0,105,10.0620651245
4,8,0,110,10.2964248657
4,8,5,90,10.1871871948
4,8,5,95,10.3278579712
4,8,5,100,10.1246795654
4,8,5,105,10.2185211182
4,8,5,110,10.4211959839
4,8,10,90,10.2809448242
4,8,10,95,10.2028503418
4,8,10,100,10.1873168945
4,8,10,105,10.1873397827
4,8,10,110,10.1090621948
4,8,15,90,10.1091461182
4,8,15,95,10.2028198242
4,8,15,100,10.3435287476
4,8,15,105,10.0935363770
4,8,15,110,10.2183914185
4,8,20,90,10.2028121948
4,8,20,95,10.2652053833
4,8,20,100,10.1872787476
4,8,20,105,10.2185211182
4,8,20,110,10.2805786133
4,10,0,90,10.2653656006
4,10,0,95,10.2184600830
4,10,0,100,10.3121643066
4,10,0,105,10.1870346069
4,10,0,110,10.2653350830
4,10,5,90,10.2184906006
4,10,5,95,10.2341537476
4,10,5,100,10.2652664185
4,10,5,105,10.2494506836
4,10,5,110,10.3433761597
4,10,10,90,10.2028579712
4,10,10,95,10.2185592651
4,10,10,100,10.3746871948
4,10,10,105,10.2495269775
4,10,10,110,10.3276901245
4,10,15,90,10.2966003418
4,10,15,95,10.2648925781
4,10,15,100,10.2965164185
4,10,15,105,10.2182388306
4,10,15,110,10.2494125366
4,10,20,90,10.3278427124
4,10,20,95,10.4528732300
4,10,20,100,10.2809982300
4,10,20,105,10.2025299072
4,10,20,110,10.2966537476
6,2,0,90,10.1871719360
6,2,0,95,10.3435440063
6,2,0,100,10.2966308594
6,2,0,105,10.2652053833
6,2,0,110,10.3277664185
6,2,5,90,10.2653579712
6,2,5,95,10.2338790894
6,2,5,100,10.2807235718
6,2,5,105,10.2495727539
6,2,5,110,10.3588485718
6,2,10,90,10.2966766357
6,2,10,95,10.2651138306
6,2,10,100,10.2651138306
6,2,10,105,10.2965393066
6,2,10,110,10.2183303833
6,2,15,90,10.2497253418
6,2,15,95,10.3437728882
6,2,15,100,10.2497634888
6,2,15,105,10.3122558594
6,2,15,110,10.3278350830
6,2,20,90,10.2497024536
6,2,20,95,10.2807312012
6,2,20,100,10.2338790894
