alpha11,beta11,az_angle,el_angle,simulation_time
2,2,0,90,260.051353455
2,2,0,95,357.531066895
2,2,0,100,354.157844543
2,2,0,105,347.425460815
2,2,0,110,343.411537170
2,2,5,90,290.588157654
2,2,5,95,385.957321167
2,2,5,100,379.880935669
2,2,5,105,378.538284302
2,2,5,110,373.706893921
2,2,10,90,270.209838867
2,2,10,95,361.263671875
2,2,10,100,363.859687805
2,2,10,105,351.918579102
2,2,10,110,349.405334473
2,2,15,90,258.585372925
2,2,15,95,348.020797729
2,2,15,100,342.259117126
2,2,15,105,340.400382996
2,2,15,110,337.790985107
2,2,20,90,251.589965820
2,2,20,95,336.135467529
2,2,20,100,333.760925293
2,2,20,105,327.776649475
2,2,20,110,325.433357239
2,4,0,90,260.949890137
2,4,0,95,358.058288574
2,4,0,100,351.839569092
2,4,0,105,349.886848450
2,4,0,110,345.933921814
2,4,5,90,273.778427124
2,4,5,95,368.402603149
2,4,5,100,364.152511597
2,4,5,105,361.808982849
2,4,5,110,358.168769836
2,4,10,90,265.575874329
2,4,10,95,352.075256348
2,4,10,100,348.512451172
2,4,10,105,346.215896606
2,4,10,110,340.528770447
2,4,15,90,256.794944763
2,4,15,95,342.481796265
2,4,15,100,339.919044495
2,4,15,105,334.028854370
2,4,15,110,333.637886047
4,2,0,90,306.270652771
4,2,0,95,398.877845764
4,2,0,100,392.441337585
4,2,0,105,384.911407471
4,2,0,110,378.912384033
4,2,5,90,283.743301392
4,2,5,95,380.929519653
4,2,5,100,376.366973877
4,2,5,105,376.086555481
4,2,5,110,368.446243286
4,2,10,90,269.635841370
4,2,10,95,360.244140625
4,2,10,100,356.166152954
4,2,10,105,353.901039124
4,2,10,110,350.276321411
4,2,15,90,261.527671814
4,2,15,95,348.806640625
4,2,15,100,346.051063538
4,2,15,105,341.329383850
4,2,15,110,338.048294067
4,2,20,90,251.867668152
4,2,20,95,339.083030701
4,2,20,100,338.739967346
4,2,20,105,332.199920654
4,2,20,110,329.965400696
4,4,0,90,305.574966431
4,4,0,95,397.215339661
4,4,0,100,390.590400696
4,4,0,105,384.356079102
4,4,0,110,376.637168884
4,4,5,90,271.153854370
4,4,5,95,366.512710571
4,4,5,100,363.785842896
4,4,5,105,359.933937073
4,4,5,110,356.202728271
4,4,10,90,260.884696960
4,4,10,95,354.020378113
4,4,10,100,349.960060120
4,4,10,105,347.836952209
4,4,10,110,343.979843140
4,4,15,90,254.970329285
4,4,15,95,345.685508728
4,4,15,100,340.374336243
