alpha11,beta11,az_angle,el_angle,simulation_time
2,2,0,90,71.4742889404
2,2,0,95,95.5576171875
2,2,0,100,95.1443328857
2,2,0,105,93.7498397827
2,2,0,110,93.0498275757
2,2,5,90,78.9364089966
2,2,5,95,103.256393433
2,2,5,100,102.914855957
2,2,5,105,101.315422058
2,2,5,110,101.683311462
2,2,10,90,73.2618255615
2,2,10,95,97.5615005493
2,2,10,100,95.5116882324
2,2,10,105,95.5824356079
2,2,10,110,93.9679870605
2,2,15,90,71.1455230713
2,2,15,95,93.5617294312
2,2,15,100,92.0742645264
2,2,15,105,91.4181289673
2,2,15,110,90.1056747437
2,2,20,90,69.0909423828
2,2,20,95,91.2306594849
2,2,20,100,89.5246200562
2,2,20,105,89.4651489258
2,2,20,110,89.2041931152
2,4,0,90,71.2628097534
2,4,0,95,95.4960632324
2,4,0,100,95.4867401123
2,4,0,105,94.0591964722
2,4,0,110,93.5185623169
2,4,5,90,77.3708801270
2,4,5,95,99.6235885620
2,4,5,100,98.1991195679
2,4,5,105,97.5898666382
2,4,5,110,96.1678466797
2,4,10,90,71.2190475464
2,4,10,95,95.5379486084
2,4,10,100,95.2775115967
2,4,10,105,93.4992065430
2,4,10,110,91.5276565552
2,4,15,90,69.7316360474
2,4,15,95,93.3997573853
2,4,15,100,91.3933715820
2,4,15,105,90.1371002197
2,4,15,110,89.4808197021
2,4,20,90,69.0817565918
2,4,20,95,89.8715057373
2,4,20,100,89.4523391724
2,4,20,105,87.4965896606
2,4,20,110,87.4498825073
2,6,0,90,71.4594345093
2,6,0,95,95.5274810791
2,6,0,100,95.5119171143
2,6,0,105,93.4964599609
2,6,0,110,93.4807815552
2,6,5,90,73.6222457886
2,6,5,95,98.1114959717
2,6,5,100,96.2774810791
2,6,5,105,95.6704635620
2,6,5,110,95.4309844971
2,6,10,90,72.3941421509
2,6,10,95,93.9495849609
2,6,10,100,93.5901870728
2,6,10,105,91.8337326050
2,6,10,110,91.7694702148
2,6,15,90,69.5535964966
2,6,15,95,91.6312713623
2,6,15,100,91.5084152222
2,6,15,105,91.2022018433
2,6,15,110,89.4928894043
2,6,20,90,69.1665191650
2,6,20,95,89.4774169922
2,6,20,100,89.4461898804
2,6,20,105,87.5889892578
2,6,20,110,87.3684158325
2,8,0,90,71.7195281982
2,8,0,95,95.6803359985
2,8,0,100,95.5242309570
2,8,0,105,93.7587280273
2,8,0,110,93.5088272095
2,8,5,90,73.2290802002
2,8,5,95,97.5708923340
2,8,5,100,95.8368377686
2,8,5,105,95.4618759155
2,8,5,110,94.1338348389
2,8,10,90,71.1512680054
2,8,10,95,93.8884429932
2,8,10,100,93.5558013916
2,8,10,105,93.4981613159
2,8,10,110,91.4935684204
