alpha11,beta11,az_angle,el_angle,simulation_time
2,2,0,90,93.3305587769
2,2,0,95,98.9007949829
2,2,0,100,97.0637054443
2,2,0,105,97.1047363281
2,2,0,110,97.0949401855
2,2,5,90,88.9106063843
2,2,5,95,93.4479064941
2,2,5,100,93.4959564209
2,2,5,105,93.4334793091
2,2,5,110,93.4646682739
2,2,10,90,87.8399200439
2,2,10,95,93.4402160645
2,2,10,100,92.1678695679
2,2,10,105,93.4647293091
2,2,10,110,92.1523742676
2,2,15,90,87.3399581909
2,2,15,95,91.4493026733
2,2,15,100,91.3866500854
2,2,15,105,91.6367263794
2,2,15,110,91.6367492676
2,2,20,90,87.3243408203
2,2,20,95,91.3556747437
2,2,20,100,93.2147903442
2,2,20,105,91.4335861206
2,2,20,110,91.4804916382
2,4,0,90,91.3867416382
2,4,0,95,95.5115051270
2,4,0,100,95.5115356445
2,4,0,105,94.0896911621
2,4,0,110,95.1210250854
2,4,5,90,91.6366729736
2,4,5,95,95.4625244141
2,4,5,100,93.9334335327
2,4,5,105,94.0428314209
2,4,5,110,95.5115127563
2,4,10,90,91.7460479736
2,4,10,95,93.8866500854
2,4,10,100,93.5272445679
2,4,10,105,93.4803695679
2,4,10,110,93.7617263794
2,4,15,90,90.0742568970
2,4,15,95,93.8397369385
2,4,15,100,93.4803695679
2,4,15,105,93.4804992676
2,4,15,110,95.5428543091
2,4,20,90,91.6367721558
2,4,20,95,93.4491271973
2,4,20,100,93.4805297852
2,4,20,105,93.4491424561
2,4,20,110,93.1210250854
2,6,0,90,97.5739593506
2,6,0,95,99.5739440918
2,6,0,100,99.5583801270
2,6,0,105,100.199012756
2,6,0,110,97.8396377563
2,6,5,90,95.4646759033
2,6,5,95,97.7616043091
2,6,5,100,97.1991271973
2,6,5,105,95.9021682739
2,6,5,110,95.6983413696
2,6,10,90,93.4264678955
2,6,10,95,97.5509262085
2,6,10,100,95.6762619019
2,6,10,105,95.4733657837
2,6,10,110,95.4576873779
2,6,15,90,95.4889984131
2,6,15,95,97.5672225952
2,6,15,100,95.4580078125
2,6,15,105,95.5206069946
2,6,15,110,95.4114685059
2,6,20,90,91.8650360107
2,6,20,95,95.5520782471
2,6,20,100,95.5522308350
2,6,20,105,95.1110534668
2,6,20,110,121.866134644
2,8,0,90,104.901863098
2,8,0,95,107.025756836
2,8,0,100,103.049926758
2,8,0,105,103.587150574
2,8,0,110,99.0400238037
2,8,5,90,97.1209182739
2,8,5,95,101.196624756
2,8,5,100,99.1359481812
2,8,5,105,99.1288909912
2,8,5,110,97.0096740723
2,8,10,90,97.0748825073
2,8,10,95,100.091491699
2,8,10,100,98.0512771606
2,8,10,105,97.3211441040
2,8,10,110,99.4245376587
2,8,15,90,95.6100616455
2,8,15,95,99.3687438965
2,8,15,100,97.3334503174
