alpha11,beta11,az_angle,el_angle,simulation_time
2,2,0,90,91.8875122070
2,2,0,95,109.712989807
2,2,0,100,108.306739807
2,2,0,105,107.759857178
2,2,0,110,109.681694031
2,2,5,90,99.5884552002
2,2,5,95,127.727584839
2,2,5,100,127.958000183
2,2,5,105,125.946502686
2,2,5,110,124.212287903
2,2,10,90,89.4172134399
2,2,10,95,116.119003296
2,2,10,100,114.509666443
2,2,10,105,114.072219849
2,2,10,110,113.747406006
2,2,15,90,85.3863296509
2,2,15,95,111.713012695
2,2,15,100,109.795455933
2,2,15,105,110.389884949
2,2,15,110,107.978919983
2,2,20,90,83.3396606445
2,2,20,95,107.728958130
2,2,20,100,107.292846680
2,2,20,105,107.294921875
2,2,20,110,105.574081421
2,4,0,90,83.3578643799
2,4,0,95,109.923736572
2,4,0,100,109.682029724
2,4,0,105,107.666519165
2,4,0,110,107.596633911
2,4,5,90,91.4956054688
2,4,5,95,117.934921265
2,4,5,100,117.931823730
2,4,5,105,115.791397095
2,4,5,110,114.447509766
2,4,10,90,85.4958114624
2,4,10,95,111.963287354
2,4,10,100,110.041572571
2,4,10,105,109.760353088
2,4,10,110,109.713516235
2,4,15,90,83.3460617065
2,4,15,95,107.744873047
2,4,15,100,107.720733643
2,4,15,105,105.885734558
2,4,15,110,105.760833740
2,4,20,90,81.2305068970
2,4,20,95,105.685707092
2,4,20,100,104.260673523
2,4,20,105,103.701835632
2,4,20,110,104.417144775
2,6,0,90,83.6210403442
2,6,0,95,111.650985718
2,6,0,100,109.807388306
2,6,0,105,109.682456970
2,6,0,110,109.495018005
2,6,5,90,87.9333801270
2,6,5,95,115.854042053
2,6,5,100,113.822959900
2,6,5,105,113.619789124
2,6,5,110,111.822929382
2,6,10,90,84.1067504883
2,6,10,95,111.347366333
2,6,10,100,109.342285156
2,6,10,105,109.310989380
2,6,10,110,107.404953003
2,6,15,90,82.9048461914
2,6,15,95,107.552719116
2,6,15,100,105.963882446
2,6,15,105,105.807716370
2,6,15,110,104.214050293
2,6,20,90,81.3588180542
2,6,20,95,105.760879517
2,6,20,100,103.698471069
2,6,20,105,103.479812622
2,6,20,110,103.392387390
2,8,0,90,83.3868408203
2,8,0,95,111.885551453
2,8,0,100,110.541954041
2,8,0,105,110.354393005
2,8,0,110,107.873291016
2,8,5,90,87.6054306030
2,8,5,95,113.823005676
2,8,5,100,111.979339600
2,8,5,105,111.760688782
2,8,5,110,111.495117188
2,8,10,90,83.3869018555
2,8,10,95,109.776481628
2,8,10,100,107.951728821
2,8,10,105,108.135871887
2,8,10,110,107.529708862
2,8,15,90,81.7786636353
2,8,15,95,107.823348999
2,8,15,100,105.761062622
2,8,15,105,105.776641846
