alpha11,beta11,az_angle,el_angle,simulation_time
2,2,0,90,79.0143356323
2,2,0,95,81.0302658081
2,2,0,100,80.9049606323
2,2,0,105,80.7955169678
2,2,5,90,78.2174682617
2,2,5,95,77.4362792969
2,2,5,100,77.6235656738
2,2,5,105,76.9209747314
2,2,5,110,79.3420639038
2,2,10,90,74.8737258911
2,2,10,95,76.9208221436
2,2,10,100,78.4519653320
2,2,5,90,75.3425292969
2,2,5,95,76.7961349487
2,2,5,100,77.1240692139
2,2,5,105,76.7957000732
2,2,5,110,76.9674301147
2,2,10,90,73.4520874023
2,2,10,95,76.7801513672
2,2,10,100,76.5144577026
2,2,10,105,76.6061172485
2,2,10,110,76.7235565186
2,2,15,90,73.1528701782
2,2,15,95,77.2307052612
2,2,15,100,75.2777175903
2,4,0,90,81.4770812988
2,4,0,95,80.8706283569
2,4,0,100,82.9350204468
2,4,0,105,81.0115203857
2,4,0,110,81.0950927734
2,4,5,90,77.1057205200
2,4,5,95,79.1524810791
2,4,5,100,77.4182052612
2,4,5,105,77.2620162964
2,4,5,110,77.4963302612
2,4,10,90,75.4183044434
2,4,10,95,77.1682662964
2,4,10,100,77.1682968140
2,4,10,105,77.4963989258
2,4,10,110,77.5432662964
2,4,15,90,79.1993865967
2,4,15,95,77.1369705200
2,4,15,100,77.1994781494
2,4,15,105,77.6370697021
2,4,15,110,77.2151184082
2,4,20,90,75.0903396606
2,4,20,95,77.1684417725
2,4,20,100,77.2307968140
2,4,20,105,75.5277557373
2,4,20,110,77.2976760864
2,6,0,90,82.5458526611
2,6,0,95,82.9835281372
2,6,0,100,82.7021026611
2,6,0,105,81.6238479614
2,6,0,110,81.1084823608
2,6,5,90,78.9365005493
2,6,5,95,81.1082229614
2,6,5,100,78.7958755493
2,6,5,105,80.5925674438
2,6,5,110,80.9673004150
2,6,10,90,78.8583068848
2,6,10,95,80.9675750732
2,6,10,100,78.9676818848
2,6,10,105,78.9989471436
2,6,10,110,79.1242599487
2,6,15,90,78.6085586548
2,8,0,90,85.2801513672
2,8,0,95,84.9521179199
2,8,0,100,82.8738708496
2,8,0,105,82.9676284790
2,8,0,110,83.0148315430
2,8,5,90,81.1081161499
2,8,5,95,84.7956848145
2,8,5,100,81.4208145142
2,8,5,105,80.8271255493
2,8,5,110,81.0614395142
2,8,10,90,80.9051895142
2,8,10,95,82.8739471436
2,8,10,100,80.8583679199
2,8,10,105,80.8739700317
2,8,10,110,81.0772094727
2,8,15,90,79.4052963257
2,8,15,95,80.9677505493
2,8,15,100,78.9053039551
2,8,15,105,78.8895339966
2,8,15,110,78.9834518433
2,8,20,90,80.9208602905
2,8,20,95,80.7648010254
2,8,20,100,78.8583450317
2,8,20,105,78.9208450317
2,8,20,110,79.0460128784
2,10,0,90,85.2645111084
2,10,0,95,87.0457611084
2,10,0,100,83.5458297729
2,10,0,105,82.9989166260
2,10,0,110,83.7636871338
2,10,5,90,83.3536300659
2,10,5,95,85.2908935547
2,10,5,100,84.9628143311
2,10,5,105,82.9476013184
2,10,5,110,82.9787902832
2,10,10,90,82.9475402832
2,10,10,95,84.9163665771
2,10,10,100,83.3539886475
2,10,10,105,82.8695297241
2,10,10,110,81.4634552002
2,10,15,90,82.9791259766
2,10,15,95,84.9635925293
2,10,15,100,82.8697814941
2,10,15,105,83.3542861938
2,10,15,110,81.0574188232
2,10,20,90,82.9167861938
2,10,20,95,84.9480667114
2,10,20,100,85.0730743408
