Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-22.6919
-89,0,-22.6919
-88,0,-22.6919
-87,0,-22.6919
-86,0,-22.6919
-85,0,-22.6919
-84,0,-22.6919
-83,0,-22.6919
-82,0,-22.6919
-81,0,-22.6919
-80,0,-22.6919
-79,0,-22.6919
-78,0,-22.6919
-77,0,-22.6919
-76,0,-22.6919
-75,0,-22.6919
-74,0,-22.6919
-73,0,-22.6919
-72,0,-22.6919
-71,0,-22.6919
-70,0,-22.6919
-69,0,-22.6919
-68,0,-22.6919
-67,0,-22.6919
-66,0,-22.6919
-65,0,-22.6919
-64,0,-22.6919
-63,0,-22.6919
-62,0,-22.6919
-61,0,-22.6919
-60,0,-22.6919
-59,0,-22.6919
-58,0,-22.6919
-57,0,-22.6919
-56,0,-22.6919
-55,0,-22.6919
-54,0,-22.6919
-53,0,-22.6919
-52,0,-22.6919
-51,0,-22.6919
-50,0,-22.6919
-49,0,-22.6919
-48,0,-22.6919
-47,0,-22.6919
-46,0,-22.6919
-45,0,-22.6919
-44,0,-22.6919
-43,0,-22.6919
-42,0,-22.6919
-41,0,-22.6919
-40,0,-22.6919
-39,0,-22.6919
-38,0,-22.6919
-37,0,-22.6919
-36,0,-22.6919
-35,0,-22.6919
-34,0,-22.6919
-33,0,-22.6919
-32,0,-22.6919
-31,0,-22.6919
-30,0,-22.6919
-29,0,-22.6919
-28,0,-22.6919
-27,0,-22.6919
-26,0,-22.6919
-25,0,-22.6919
-24,0,-22.6919
-23,0,-22.6919
-22,0,-22.6919
-21,0,-22.6919
-20,0,-22.6919
-19,0,-22.6919
-18,0,-22.6919
-17,0,-22.6919
-16,0,-22.6919
-15,0,-22.6919
-14,0,-22.6919
-13,0,-22.6919
-12,0,-22.6919
-11,0,-22.6919
-10,0,-22.6919
-9,0,-22.6919
-8,0,-22.6919
-7,0,-22.6919
-6,0,-22.6919
-5,0,-22.6919
-4,0,-22.6919
-3,0,-22.6919
-2,0,-22.6919
-1,0,-22.6919
0,0,-22.6925
1,0,-22.6925
2,0,-22.6925
3,0,-22.6925
4,0,-22.6925
5,0,-22.6925
6,0,-22.6925
7,0,-22.6925
8,0,-22.6925
9,0,-22.6925
10,0,-22.6925
11,0,-22.6925
12,0,-22.6925
13,0,-22.6925
14,0,-22.6925
15,0,-22.6925
16,0,-22.6925
17,0,-22.6925
18,0,-22.6925
19,0,-22.6925
20,0,-22.6925
21,0,-22.6925
22,0,-22.6925
23,0,-22.6925
24,0,-22.6925
25,0,-22.6925
26,0,-22.6925
27,0,-22.6925
28,0,-22.6925
29,0,-22.6925
30,0,-22.6925
31,0,-22.6925
32,0,-22.6925
33,0,-22.6925
34,0,-22.6925
35,0,-22.6925
36,0,-22.6925
37,0,-22.6925
38,0,-22.6925
39,0,-22.6925
40,0,-22.6925
41,0,-22.6925
42,0,-22.6925
43,0,-22.6925
44,0,-22.6925
45,0,-22.6925
46,0,-22.6925
47,0,-22.6925
48,0,-22.6925
49,0,-22.6925
50,0,-22.6925
51,0,-22.6925
52,0,-22.6925
53,0,-22.6925
54,0,-22.6925
55,0,-22.6925
56,0,-22.6925
57,0,-22.6925
58,0,-22.6925
59,0,-22.6925
60,0,-22.6925
61,0,-22.6925
62,0,-22.6925
63,0,-22.6925
64,0,-22.6925
65,0,-22.6925
66,0,-22.6925
67,0,-22.6925
68,0,-22.6925
69,0,-22.6925
