Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-33.0616
-89,0,-33.0616
-88,0,-33.0616
-87,0,-33.0616
-86,0,-33.0616
-85,0,-33.0616
-84,0,-33.0616
-83,0,-33.0616
-82,0,-33.0616
-81,0,-33.0616
-80,0,-33.0616
-79,0,-33.0616
-78,0,-33.0616
-77,0,-33.0616
-76,0,-33.0616
-75,0,-33.0616
-74,0,-33.0616
-73,0,-33.0616
-72,0,-33.0616
-71,0,-33.0616
-70,0,-33.0616
-69,0,-33.0616
-68,0,-33.0616
-67,0,-33.0616
-66,0,-33.0616
-65,0,-33.0616
-64,0,-33.0616
-63,0,-33.0616
-62,0,-33.0616
-61,0,-33.0616
-60,0,-33.0616
-59,0,-33.0616
-58,0,-33.0616
-57,0,-33.0616
-56,0,-33.0616
-55,0,-33.0616
-54,0,-33.0616
-53,0,-33.0616
-52,0,-33.0616
-51,0,-33.0616
-50,0,-33.0616
-49,0,-33.0616
-48,0,-33.0616
-47,0,-33.0616
-46,0,-33.0616
-45,0,-33.0616
-44,0,-33.0616
-43,0,-33.0616
-42,0,-33.0616
-41,0,-33.0616
-40,0,-33.0616
-39,0,-33.0616
-38,0,-33.0616
-37,0,-33.0616
-36,0,-33.0616
-35,0,-33.0616
-34,0,-33.0616
-33,0,-33.0616
-32,0,-33.0616
-31,0,-33.0616
-30,0,-33.0616
-29,0,-33.0616
-28,0,-33.0616
-27,0,-33.0616
-26,0,-33.0616
-25,0,-33.0616
-24,0,-33.0616
-23,0,-33.0616
-22,0,-33.0616
-21,0,-33.0616
-20,0,-33.0616
-19,0,-33.0616
-18,0,-33.0616
-17,0,-33.0616
-16,0,-33.0616
-15,0,-33.0616
-14,0,-33.0616
-13,0,-33.0616
-12,0,-33.0616
-11,0,-33.0616
-10,0,-33.0616
-9,0,-33.0616
-8,0,-33.0616
-7,0,-33.0616
-6,0,-33.0616
-5,0,-33.0616
-4,0,-33.0616
-3,0,-33.0616
-2,0,-33.0616
-1,0,-33.0616
0,0,-33.0616
1,0,-33.0616
2,0,-33.0616
3,0,-33.0616
4,0,-33.0616
5,0,-33.0616
6,0,-33.0616
7,0,-33.0616
8,0,-33.0616
9,0,-33.0616
10,0,-33.0616
11,0,-33.0616
12,0,-33.0616
13,0,-33.0616
14,0,-33.0616
15,0,-33.0616
16,0,-33.0616
17,0,-33.0616
18,0,-33.0616
19,0,-33.0616
20,0,-33.0616
21,0,-33.0616
22,0,-33.0616
23,0,-33.0616
24,0,-33.0616
25,0,-33.0616
26,0,-33.0616
27,0,-33.0616
28,0,-33.0616
29,0,-33.0616
30,0,-33.0616
31,0,-33.0616
32,0,-33.0616
33,0,-33.0616
34,0,-33.0616
35,0,-33.0616
36,0,-33.0616
37,0,-33.0616
38,0,-33.0616
39,0,-33.0616
40,0,-33.0616
41,0,-33.0616
42,0,-33.0616
43,0,-33.0616
44,0,-33.0616
45,0,-33.0616
46,0,-33.0616
47,0,-33.0616
48,0,-33.0616
49,0,-33.0616
50,0,-33.0616
51,0,-33.0616
52,0,-33.0616
53,0,-33.0616
54,0,-33.0616
55,0,-33.0616
56,0,-33.0616
57,0,-33.0616
58,0,-33.0616
59,0,-33.0616
60,0,-33.0616
61,0,-33.0616
62,0,-33.0616
63,0,-33.0616
64,0,-33.0616
65,0,-33.0616
66,0,-33.0616
67,0,-33.0616
68,0,-33.0616
69,0,-33.0616
70,0,-33.0616
71,0,-33.0616
72,0,-33.0616
73,0,-33.0616
74,0,-33.0616
75,0,-33.0616
76,0,-33.0616
77,0,-33.0616
78,0,-33.0616
79,0,-33.0616
80,0,-33.0616
81,0,-33.0616
82,0,-33.0616
83,0,-33.0616
84,0,-33.0616
85,0,-33.0616
86,0,-33.0616
87,0,-33.0616
88,0,-33.0616
89,0,-33.0616
90,0,-33.0616
-90,1,-33.5952
-89,1,-33.6471
-88,1,-33.6983
-87,1,-33.7489
-86,1,-33.7988
-85,1,-33.8479
-84,1,-33.8965
-83,1,-33.9444
-82,1,-33.9917
-81,1,-34.0383
-80,1,-34.0844
-79,1,-34.1299
-78,1,-34.1749
-77,1,-34.2194
-76,1,-34.2633
-75,1,-34.3069
-74,1,-34.3499
-73,1,-34.3926
-72,1,-34.4349
-71,1,-34.4769
-70,1,-34.5185
-69,1,-34.5599
-68,1,-34.6011
-67,1,-34.6421
-66,1,-34.6829
-65,1,-34.7236
-64,1,-34.7642
-63,1,-34.8048
-62,1,-34.8453
-61,1,-34.8859
-60,1,-34.9266
-59,1,-34.9674
-58,1,-35.0084
-57,1,-35.0495
-56,1,-35.0909
-55,1,-35.1325
-54,1,-35.1745
-53,1,-35.2167
-52,1,-35.2594
-51,1,-35.3024
-50,1,-35.3458
-49,1,-35.3897
-48,1,-35.434
-47,1,-35.4788
-46,1,-35.5241
-45,1,-35.5699
-44,1,-35.6162
-43,1,-35.663
-42,1,-35.7103
-41,1,-35.7581
-40,1,-35.8063
-39,1,-35.855
-38,1,-35.9042
-37,1,-35.9537
-36,1,-36.0036
-35,1,-36.0538
-34,1,-36.1042
-33,1,-36.1548
-32,1,-36.2056
-31,1,-36.2564
-30,1,-36.3071
-29,1,-36.3577
-28,1,-36.4081
-27,1,-36.4581
-26,1,-36.5077
-25,1,-36.5567
-24,1,-36.605
-23,1,-36.6524
-22,1,-36.6988
-21,1,-36.7441
-20,1,-36.7881
-19,1,-36.8307
-18,1,-36.8717
-17,1,-36.911
-16,1,-36.9484
-15,1,-36.9837
-14,1,-37.0169
-13,1,-37.0477
-12,1,-37.076
-11,1,-37.1018
-10,1,-37.1248
-9,1,-37.1451
-8,1,-37.1624
-7,1,-37.1768
-6,1,-37.1881
-5,1,-37.1963
-4,1,-37.2014
-3,1,-37.2034
-2,1,-37.2023
-1,1,-37.1981
0,1,-37.1908
1,1,-37.3291
2,1,-37.3186
3,1,-37.3053
4,1,-37.2894
5,1,-37.2709
6,1,-37.25
7,1,-37.2269
8,1,-37.2016
9,1,-37.1743
10,1,-37.1453
11,1,-37.1147
12,1,-37.0826
13,1,-37.0492
14,1,-37.0148
15,1,-36.9795
16,1,-36.9436
17,1,-36.9071
18,1,-36.8703
19,1,-36.8333
20,1,-36.7964
21,1,-36.7596
22,1,-36.7233
23,1,-36.6874
24,1,-36.6522
25,1,-36.6178
26,1,-36.5844
27,1,-36.5521
28,1,-36.5209
29,1,-36.4911
30,1,-36.4627
31,1,-36.4357
32,1,-36.4104
33,1,-36.3868
34,1,-36.3649
35,1,-36.3448
36,1,-36.3265
37,1,-36.3102
38,1,-36.2959
39,1,-36.2835
40,1,-36.2731
41,1,-36.2648
42,1,-36.2585
43,1,-36.2543
44,1,-36.2521
45,1,-36.2519
46,1,-36.2538
47,1,-36.2577
48,1,-36.2636
49,1,-36.2715
50,1,-36.2812
51,1,-36.2929
52,1,-36.3064
53,1,-36.3217
54,1,-36.3387
55,1,-36.3574
56,1,-36.3777
57,1,-36.3995
58,1,-36.4229
59,1,-36.4476
60,1,-36.4737
61,1,-36.501
62,1,-36.5295
63,1,-36.5591
64,1,-36.5897
65,1,-36.6211
66,1,-36.6534
67,1,-36.6863
68,1,-36.7199
69,1,-36.754
70,1,-36.7884
71,1,-36.8232
72,1,-36.8581
73,1,-36.8931
74,1,-36.9281
75,1,-36.9629
76,1,-36.9974
77,1,-37.0316
78,1,-37.0653
79,1,-37.0983
80,1,-37.1307
81,1,-37.1622
82,1,-37.1928
83,1,-37.2223
84,1,-37.2506
85,1,-37.2776
86,1,-37.3031
87,1,-37.3272
88,1,-37.3496
89,1,-37.3703
90,1,-37.3891
-90,2,-39.2501
-89,2,-39.3288
-88,2,-39.4067
-87,2,-39.484
-86,2,-39.5607
-85,2,-39.6368
-84,2,-39.7123
-83,2,-39.7872
-82,2,-39.8614
-81,2,-39.9349
-80,2,-40.0077
-79,2,-40.0795
-78,2,-40.1503
-77,2,-40.22
-76,2,-40.2883
-75,2,-40.3551
-74,2,-40.4202
-73,2,-40.4834
-72,2,-40.5444
-71,2,-40.603
-70,2,-40.6589
-69,2,-40.7119
-68,2,-40.7617
-67,2,-40.8079
-66,2,-40.8505
-65,2,-40.8891
-64,2,-40.9234
-63,2,-40.9534
-62,2,-40.9787
-61,2,-40.9993
-60,2,-41.015
-59,2,-41.0259
-58,2,-41.0318
-57,2,-41.0329
-56,2,-41.0291
-55,2,-41.0208
-54,2,-41.0082
-53,2,-40.9914
-52,2,-40.9708
-51,2,-40.9468
-50,2,-40.9199
-49,2,-40.8904
-48,2,-40.859
-47,2,-40.826
-46,2,-40.7921
-45,2,-40.7577
-44,2,-40.7234
-43,2,-40.6899
-42,2,-40.6574
-41,2,-40.6267
-40,2,-40.598
-39,2,-40.5719
-38,2,-40.5486
-37,2,-40.5285
-36,2,-40.5118
-35,2,-40.4986
-34,2,-40.4889
-33,2,-40.4827
-32,2,-40.4799
-31,2,-40.48
-30,2,-40.4828
-29,2,-40.4876
-28,2,-40.4937
-27,2,-40.5003
-26,2,-40.5063
-25,2,-40.5106
-24,2,-40.5119
-23,2,-40.5088
-22,2,-40.4997
-21,2,-40.4832
-20,2,-40.4576
-19,2,-40.4215
-18,2,-40.3734
-17,2,-40.312
-16,2,-40.2364
-15,2,-40.1458
-14,2,-40.0397
-13,2,-39.9181
-12,2,-39.7812
-11,2,-39.6295
-10,2,-39.4641
-9,2,-39.2861
-8,2,-39.0968
-7,2,-38.8978
-6,2,-38.6907
-5,2,-38.4771
-4,2,-38.2588
-3,2,-38.0374
-2,2,-37.8142
-1,2,-37.5909
0,2,-37.3686
1,2,-36.9876
2,2,-36.7757
3,2,-36.569
4,2,-36.3681
5,2,-36.1736
6,2,-35.9859
7,2,-35.8055
8,2,-35.6326
9,2,-35.4676
10,2,-35.3107
11,2,-35.1621
12,2,-35.0219
13,2,-34.8903
14,2,-34.7674
15,2,-34.6534
16,2,-34.5482
17,2,-34.452
18,2,-34.3648
19,2,-34.2869
20,2,-34.2181
21,2,-34.1585
22,2,-34.1084
23,2,-34.0676
24,2,-34.0362
25,2,-34.0144
26,2,-34.0021
27,2,-33.9995
28,2,-34.0064
29,2,-34.023
30,2,-34.0493
31,2,-34.0852
32,2,-34.1307
33,2,-34.1859
34,2,-34.2506
35,2,-34.3248
36,2,-34.4084
37,2,-34.5013
38,2,-34.6032
39,2,-34.714
40,2,-34.8335
41,2,-34.9613
42,2,-35.0972
43,2,-35.2409
44,2,-35.3918
45,2,-35.5494
46,2,-35.7133
47,2,-35.8828
48,2,-36.0573
49,2,-36.2358
50,2,-36.4177
51,2,-36.6019
52,2,-36.7875
53,2,-36.9733
54,2,-37.1581
55,2,-37.3408
56,2,-37.5201
57,2,-37.6946
58,2,-37.863
59,2,-38.0241
60,2,-38.1766
61,2,-38.3192
62,2,-38.451
63,2,-38.571
64,2,-38.6785
65,2,-38.773
66,2,-38.8541
67,2,-38.9217
68,2,-38.9761
69,2,-39.0175
70,2,-39.0465
71,2,-39.0639
72,2,-39.0705
73,2,-39.0673
74,2,-39.0554
75,2,-39.0359
76,2,-39.0099
77,2,-38.9787
78,2,-38.9432
79,2,-38.9047
80,2,-38.864
81,2,-38.8222
82,2,-38.7801
83,2,-38.7385
84,2,-38.6982
