Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-32.4961
-89,0,-32.4961
-88,0,-32.4961
-87,0,-32.4961
-86,0,-32.4961
-85,0,-32.4961
-84,0,-32.4961
-83,0,-32.4961
-82,0,-32.4961
-81,0,-32.4961
-80,0,-32.4961
-79,0,-32.4961
-78,0,-32.4961
-77,0,-32.4961
-76,0,-32.4961
-75,0,-32.4961
-74,0,-32.4961
-73,0,-32.4961
-72,0,-32.4961
-71,0,-32.4961
-70,0,-32.4961
-69,0,-32.4961
-68,0,-32.4961
-67,0,-32.4961
-66,0,-32.4961
-65,0,-32.4961
-64,0,-32.4961
-63,0,-32.4961
-62,0,-32.4961
-61,0,-32.4961
-60,0,-32.4961
-59,0,-32.4961
-58,0,-32.4961
-57,0,-32.4961
-56,0,-32.4961
-55,0,-32.4961
-54,0,-32.4961
-53,0,-32.4961
-52,0,-32.4961
-51,0,-32.4961
-50,0,-32.4961
-49,0,-32.4961
-48,0,-32.4961
-47,0,-32.4961
-46,0,-32.4961
-45,0,-32.4961
-44,0,-32.4961
-43,0,-32.4961
-42,0,-32.4961
-41,0,-32.4961
-40,0,-32.4961
-39,0,-32.4961
-38,0,-32.4961
-37,0,-32.4961
-36,0,-32.4961
-35,0,-32.4961
-34,0,-32.4961
-33,0,-32.4961
-32,0,-32.4961
-31,0,-32.4961
-30,0,-32.4961
-29,0,-32.4961
-28,0,-32.4961
-27,0,-32.4961
-26,0,-32.4961
-25,0,-32.4961
-24,0,-32.4961
-23,0,-32.4961
-22,0,-32.4961
-21,0,-32.4961
-20,0,-32.4961
-19,0,-32.4961
-18,0,-32.4961
-17,0,-32.4961
-16,0,-32.4961
-15,0,-32.4961
-14,0,-32.4961
-13,0,-32.4961
-12,0,-32.4961
-11,0,-32.4961
-10,0,-32.4961
-9,0,-32.4961
-8,0,-32.4961
-7,0,-32.4961
-6,0,-32.4961
-5,0,-32.4961
-4,0,-32.4961
-3,0,-32.4961
-2,0,-32.4961
-1,0,-32.4961
0,0,-32.4961
1,0,-32.4961
2,0,-32.4961
3,0,-32.4961
4,0,-32.4961
5,0,-32.4961
6,0,-32.4961
7,0,-32.4961
8,0,-32.4961
9,0,-32.4961
10,0,-32.4961
11,0,-32.4961
12,0,-32.4961
13,0,-32.4961
14,0,-32.4961
15,0,-32.4961
16,0,-32.4961
17,0,-32.4961
18,0,-32.4961
19,0,-32.4961
20,0,-32.4961
21,0,-32.4961
22,0,-32.4961
23,0,-32.4961
24,0,-32.4961
25,0,-32.4961
26,0,-32.4961
27,0,-32.4961
28,0,-32.4961
29,0,-32.4961
30,0,-32.4961
31,0,-32.4961
32,0,-32.4961
33,0,-32.4961
34,0,-32.4961
35,0,-32.4961
36,0,-32.4961
