Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-3.96349
-89,0,-3.96349
-88,0,-3.96349
-87,0,-3.96349
-86,0,-3.96349
-85,0,-3.96349
-84,0,-3.96349
-83,0,-3.96349
-82,0,-3.96349
-81,0,-3.96349
-80,0,-3.96349
-79,0,-3.96349
-78,0,-3.96349
-77,0,-3.96349
-76,0,-3.96349
-75,0,-3.96349
-74,0,-3.96349
-73,0,-3.96349
-72,0,-3.96349
-71,0,-3.96349
-70,0,-3.96349
-69,0,-3.96349
-68,0,-3.96349
-67,0,-3.96349
-66,0,-3.96349
-65,0,-3.96349
-64,0,-3.96349
-63,0,-3.96349
-62,0,-3.96349
-61,0,-3.96349
-60,0,-3.96349
-59,0,-3.96349
-58,0,-3.96349
-57,0,-3.96349
-56,0,-3.96349
-55,0,-3.96349
-54,0,-3.96349
-53,0,-3.96349
-52,0,-3.96349
-51,0,-3.96349
-50,0,-3.96349
-49,0,-3.96349
-48,0,-3.96349
-47,0,-3.96349
-46,0,-3.96349
-45,0,-3.96349
-44,0,-3.96349
-43,0,-3.96349
-42,0,-3.96349
-41,0,-3.96349
-40,0,-3.96349
-39,0,-3.96349
-38,0,-3.96349
-37,0,-3.96349
-36,0,-3.96349
-35,0,-3.96349
-34,0,-3.96349
-33,0,-3.96349
-32,0,-3.96349
-31,0,-3.96349
-30,0,-3.96349
-29,0,-3.96349
-28,0,-3.96349
-27,0,-3.96349
-26,0,-3.96349
-25,0,-3.96349
-24,0,-3.96349
-23,0,-3.96349
-22,0,-3.96349
-21,0,-3.96349
-20,0,-3.96349
-19,0,-3.96349
-18,0,-3.96349
-17,0,-3.96349
-16,0,-3.96349
-15,0,-3.96349
-14,0,-3.96349
-13,0,-3.96349
-12,0,-3.96349
-11,0,-3.96349
-10,0,-3.96349
-9,0,-3.96349
-8,0,-3.96349
-7,0,-3.96349
-6,0,-3.96349
-5,0,-3.96349
-4,0,-3.96349
-3,0,-3.96349
-2,0,-3.96349
-1,0,-3.96349
0,0,-3.96349
1,0,-3.96349
2,0,-3.96349
3,0,-3.96349
4,0,-3.96349
5,0,-3.96349
6,0,-3.96349
7,0,-3.96349
8,0,-3.96349
9,0,-3.96349
10,0,-3.96349
