sigma_sum_max,Analytical_time
22.3921878915143,0.0438362
22.3787049355242,0.0117847
22.229949465036,0.012238
21.9436740455132,0.0075857
21.5154350055942,0.0236204
22.3853888482245,0.0101717
22.3716811039739,0.0042039
22.2204676048018,0.0044984
21.9295736807642,0.0038052
21.4946925539646,0.0058543
22.3103882760757,0.0041633
22.2942225031413,0.0036337
22.1161109505891,0.0052131
21.7745782529186,0.0042375
21.266643382825,0.0048251
22.1661148273971,0.0037098
22.1453305499479,0.0047918
21.9165802237628,0.003919
21.4792177191691,0.0035016
21.0956577690337,0.0034618
21.950448916473,0.0037113
21.9230225521432,0.0034096
21.6212184826642,0.0040791
21.3270246647067,0.0034935
21.0846828408575,0.0042016
22.2458408463897,0.0037946
22.2884985103108,0.0038818
22.1888717617815,0.0036968
21.9455631102753,0.003902
21.5550725743294,0.0041643
22.2363589861555,0.0042259
22.2817002882858,0.0032703
22.1758230929442,0.0044237
21.9175001364787,0.0039925
21.5036419103574,0.0042525
22.1320023319427,0.0038824
22.2067086959982,0.0038726
22.0323701725658,0.0037673
21.6086208719976,0.0043393
21.3177379472989,0.0033933
21.9324716051165,0.0034865
22.0624521172383,0.0037347
21.7589104451923,0.0051327
21.6399037410791,0.0050784
21.3916978794168,0.0039162
22.3917541075848,0.0055387
22.377729396885,0.0035244
22.2230493969966,0.0042329
21.9256395423669,0.0033776
21.4813816799908,0.0077282
22.4121570400002,0.0038259
22.3988088986959,0.0034937
22.2515274625488,0.0048913
21.9680209526973,0.0058511
21.5437623585017,0.0044995
22.3645055240612,0.0040167
22.3495818405469,0.0038577
22.1850669438209,0.0054915
21.8691542309877,0.0034406
21.398232262383,0.0040573
22.2481233638979,0.0045727
22.2294186491279,0.0049976
22.0234853193575,0.0030332
21.629382967001,0.0033197
21.0493165858952,0.004813
22.0613239077134,0.0035187
22.0367446657509,0.0032634
21.7662880499862,0.0038736
21.3405983940815,0.0064888
21.1327697703876,0.0043107
22.2389407783503,0.0038353
22.2880667056699,0.0044972
22.1733730142082,0.0058815
21.8938467249779,0.0037536
21.4469175701415,0.0035719
22.2674188439024,0.0031268
22.3084671662466,0.0050566
22.21258823368,0.0032685
21.9782752207076,0.0037285
21.6017653336818,0.0032491
22.2009583251746,0.0042587
22.2608214064138,0.0036572
22.1211037693148,0.0038024
21.7812350387905,0.0037065
21.2397297665752,0.0038979
22.0393767007112,0.0044848
22.1444530582082,0.0039367
21.8991797035574,0.0030441
