sigma_sum_max,Analytical_time
-29.6310878166307,0.0495216
-29.6564454921528,0.0167419
-29.7971537585782,0.017446
-30.0550168394782,0.0139883
-30.4312513433325,0.0274757
-29.6166117472253,0.0094929
-29.642188652661,0.0095613
-29.7833470205094,0.0115539
-30.0418800928086,0.0126451
-30.4190583949158,0.0124445
-29.6507710475876,0.01128
-29.6758186347648,0.0106497
-29.8158886603063,0.0103665
-30.0727078837872,0.0108798
-30.4471306004976,0.0114847
-29.7341225469565,0.0104516
-29.7575736611988,0.0103761
-29.8947705412828,0.013983
-30.1470750863212,0.0113391
-30.5153040886704,0.0110561
-29.8653863608327,0.0116169
-29.8863458328853,0.0106796
-30.0188836451314,0.0114218
-30.2636086777399,0.0116797
-30.621948227264,0.0126853
-29.7375385041396,0.0121197
-29.7298410563053,0.0114212
-29.8394992891496,0.0118555
-30.0682038202962,0.0123482
-30.4173425776825,0.0111757
-29.7229182404123,0.0116622
-29.7155666227161,0.0131912
-29.8257578071728,0.0131233
-30.0551823446446,0.0121023
-30.4054905995251,0.0114116
-29.7574216983193,0.0129097
-29.7492367770448,0.0115326
-29.8581365154994,0.011208
-30.0855018913241,0.0149102
-30.4329128726225,0.0134388
-29.8417375313454,0.0109857
-29.8312447618383,0.0107288
-29.9365333597609,0.0109623
-30.1587851768112,0.0113653
-30.4997280649766,0.0106735
-29.9741880383021,0.0116456
-29.9604506525643,0.0110087
-30.0601267771195,0.0114928
-30.2742335843007,0.0112935
-30.6045814385754,0.0114437
-29.915630410304,0.0136636
-29.8736900766967,0.0111795
-29.9521239473941,0.0112546
-30.1519576587664,0.0111465
-30.4755211557375,0.0121531
-29.9007980622686,0.0112217
-29.859306265986,0.009626
-29.9383599850915,0.0106989
-30.1389040826267,0.0133209
-30.4637372413828,0.0109089
-29.9357641267168,0.0105057
-29.8932359598875,0.012645
-29.9707859006397,0.0117653
-30.1691984275122,0.010516
-30.4910948987829,0.0110221
-30.021276118592,0.0108633
-29.9759854700114,0.0108039
-30.0492961494389,0.0111434
-30.2423683811236,0.0109813
-30.5576738141274,0.0122308
-30.1553538683903,0.0115419
-30.1063903833695,0.0117534
-30.173111608577,0.0101334
-30.3573003707336,0.0111637
-30.6613396533213,0.0115924
-30.1658329730788,0.0101677
-30.0883505670812,0.0113092
-30.1336728124791,0.0139561
-30.3047878923751,0.0112335
-30.6038451340447,0.0111887
-30.1506125662166,0.0115587
-30.073763343696,0.0124689
-30.1198040606499,0.0111984
-30.2916996442958,0.0121693
-30.5921424910631,0.0118184
-30.1864296207662,0.0107852
-30.108176867983,0.011419
-30.1524791493779,0.0113779
-30.3220167749536,0.010279
-30.6193969685049,0.0114335
-30.2735736182166,0.0118418
-30.192094650516,0.0114773
-30.2317263612257,0.0109427
-30.3954270304135,0.0101753
-30.6859050293561,0.0123327
-30.4107844895573,0.0101304
-30.3240444415786,0.0109709
-30.3567608283196,0.0101596
-30.5112795051385,0.0111257
-30.7903710361033,0.010846
-29.6242951193987,0.0108883
-29.6493389290784,0.0107583
-29.7894036646764,0.0114324
-30.046251210088,0.0113483
-30.4206629254852,0.0128087
-29.5900887948274,0.0142323
-29.615665505957,0.0108445
-29.756823561997,0.0102514
-30.0153562106736,0.012469
-30.3925339956519,0.0107282
-29.6045826105623,0.0103892
-29.6299386024131,0.0152326
-29.7706445104686,0.0147625
-30.0285046267794,0.0118058
-30.4047587392973,0.0106071
-29.6686727631556,0.0111645
-29.6928057485412,0.0110954
-29.8312294859474,0.0096949
-30.0856011984129,0.0103585
-30.4569308810718,0.0105256
-29.7810442877358,0.0100966
-29.8032593580825,0.0101201
-29.9377595954825,0.0107971
-30.1860401504593,0.0114344
-30.5483882184672,0.0106042
-29.7309479414583,0.0095492
-29.7227562504353,0.0109188
-29.8316482747745,0.0097454
-30.0590381769174,0.0106452
-30.4064361756726,0.0115454
-29.6963953534843,0.0110788
-29.6890434077331,0.0097085
-29.7992341630276,0.0130698
-30.0286581726819,0.0104124
-30.3789658238259,0.011067
-29.7110342653104,0.0108642
-29.7033338003858,0.0105597
-29.812988594261,0.0106204
-30.0416893067339,0.0111841
-30.3908454134399,0.0100189
-29.7758770282867,0.0131683
-29.7663625654282,0.0104066
-29.8731819948327,0.0099759
-30.0980535361616,0.0116207
-30.4418595720511,0.011873
-29.8892673309416,0.0110148
-29.877180398065,0.0102858
-29.9790452617336,0.0111889
-30.1969875590539,0.0100863
-30.5320495510537,0.0127152
-29.9092934009342,0.0122843
-29.8667559891827,0.0133572
-29.9442957708878,0.0106007
-30.1427292504262,0.0123637
-30.4646111012184,0.012082
-29.8742692543178,0.0097009
-29.8327830257076,0.011278
-29.9118361997064,0.0105598
-30.1123796651854,0.010697
-30.4372121441581,0.0119865
-29.8891275215607,0.0094252
-29.8471830679931,0.0100895
-29.9256124099427,0.013963
-30.125441453208,0.0115332
-30.4490203167031,0.0125395
-29.9547648845416,0.0123242
-29.9107853338767,0.0118984
-29.9858818533541,0.0101851
-30.1818472822492,0.011721
-30.4999448586091,0.0112073
-30.0695762235074,0.011033
-30.0224844511099,0.0102224
-30.0919084284542,0.011314
-30.2801768453084,0.0104166
-30.589224366332,0.0105188
-30.1599639696393,0.010703
-30.0816988377684,0.0101303
-30.1259879767304,0.01136
-30.2955435549366,0.0107768
-30.5929074700136,0.0098473
-30.1240837800008,0.0110589
-30.0472381413047,0.0117238
-30.0932801599286,0.0105682
-30.2651750230697,0.0119435
-30.5656171133709,0.0116695
-30.1393323444994,0.0096963
