sigma_sum_max,Analytical_time
22.3917541075848,0.0462713
22.377729396885,0.018032
22.2230493969966,0.0172894
21.9256395423669,0.0156225
21.4813816799908,0.0290624
22.4121570400002,0.0109305
22.3988088986959,0.0106406
22.2515274625488,0.0125559
21.9680209526973,0.0123011
22.2458408463897,0.0141938
22.2884985103108,0.0130161
22.1888717617815,0.0118186
21.9455631102753,0.0125361
21.5550725743294,0.0126051
22.2363589861555,0.0134278
22.2817002882858,0.0130725
22.1758230929442,0.0124563
21.9175001364787,0.0126037
21.5036419103574,0.0121948
22.1320023319427,0.0110556
22.2067086959982,0.0135607
22.1320023319427,0.0127152
22.2067086959982,0.0132343
22.0323701725658,0.0125498
21.8849285578304,0.010848
21.4980657222627,0.0114819
21.9324716051165,0.0119569
21.9926829514513,0.0107318
22.1008480594279,0.0114577
21.9926829514513,0.0110945
22.1008480594279,0.0115839
21.9926829514513,0.011286
22.1008480594279,0.0131828
22.0545306278947,0.0107612
21.8531411323138,0.0126644
21.4940591900869,0.0128027
21.9717077328497,0.0109497
22.0938291386121,0.0113702
22.04152112956,0.0121333
21.8143337739645,0.0117116
21.4931520161384,0.0116233
21.8900473147992,0.0113966
22.0164242392309,0.012292
21.8984979810262,0.0109283
21.80777635082,0.0112181
21.4367593793983,0.0131616
21.7514610055155,0.0116116
21.8676332042879,0.0129829
21.8370539758362,0.0122845
21.6546554895328,0.0132562
21.3117759267809,0.0107822
21.4945357986081,0.0109568
21.6454703785945,0.0126754
21.647935360453,0.0129948
21.4177715267817,0.0114023
21.148016377341,0.0123733
21.6188328629701,0.0136083
