Phi[deg],Theta[deg],dB(RCSTotal)
-10,1,-27.0369
-9,1,-27.0316
-8,1,-27.0265
-7,1,-27.0217
-6,1,-27.0172
-5,1,-27.0129
-4,1,-27.0088
-3,1,-27.0051
-2,1,-27.0016
-1,1,-26.9985
0,1,-26.992
1,1,-27.0834
2,1,-27.0801
3,1,-27.0772
4,1,-27.0745
5,1,-27.0721
6,1,-27.0699
7,1,-27.0681
8,1,-27.0665
9,1,-27.0652
10,1,-27.0642
11,1,-27.0635
12,1,-27.063
13,1,-27.0628
14,1,-27.0629
15,1,-27.0633
16,1,-27.0639
17,1,-27.0647
18,1,-27.0659
19,1,-27.0672
20,1,-27.0688
21,1,-27.0707
22,1,-27.0728
23,1,-27.0751
24,1,-27.0776
25,1,-27.0803
26,1,-27.0832
27,1,-27.0863
28,1,-27.0896
29,1,-27.0931
30,1,-27.0967
31,1,-27.1005
32,1,-27.1044
33,1,-27.1085
34,1,-27.1127
35,1,-27.117
36,1,-27.1214
37,1,-27.1259
38,1,-27.1305
39,1,-27.1351
40,1,-27.1398
41,1,-27.1446
42,1,-27.1493
43,1,-27.1542
44,1,-27.159
45,1,-27.1638
46,1,-27.1686
47,1,-27.1734
48,1,-27.1781
49,1,-27.1828
50,1,-27.1874
51,1,-27.1919
52,1,-27.1964
53,1,-27.2007
54,1,-27.205
55,1,-27.2091
56,1,-27.213
57,1,-27.2169
58,1,-27.2205
59,1,-27.224
60,1,-27.2273
61,1,-27.2304
62,1,-27.2333
63,1,-27.236
64,1,-27.2385
65,1,-27.2407
66,1,-27.2427
67,1,-27.2444
68,1,-27.2458
69,1,-27.247
70,1,-27.2479
71,1,-27.2484
72,1,-27.2487
73,1,-27.2487
74,1,-27.2483
75,1,-27.2477
76,1,-27.2467
77,1,-27.2453
78,1,-27.2437
79,1,-27.2416
80,1,-27.2393
81,1,-27.2365
82,1,-27.2334
83,1,-27.23
84,1,-27.2261
85,1,-27.2219
86,1,-27.2174
87,1,-27.2124
88,1,-27.2071
89,1,-27.2014
90,1,-27.1954
-90,2,-28.4545
-89,2,-28.4809
-88,2,-28.5055
-87,2,-28.5284
