Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-19.9352
-89,0,-19.9352
-88,0,-19.9352
-87,0,-19.9352
-86,0,-19.9352
-85,0,-19.9352
-84,0,-19.9352
-83,0,-19.9352
-82,0,-19.9352
-81,0,-19.9352
-80,0,-19.9352
-79,0,-19.9352
-78,0,-19.9352
-77,0,-19.9352
-76,0,-19.9352
-75,0,-19.9352
-74,0,-19.9352
-73,0,-19.9352
-72,0,-19.9352
-71,0,-19.9352
-70,0,-19.9352
-69,0,-19.9352
-68,0,-19.9352
-67,0,-19.9352
-66,0,-19.9352
-65,0,-19.9352
-64,0,-19.9352
-63,0,-19.9352
-62,0,-19.9352
-61,0,-19.9352
-60,0,-19.9352
-59,0,-19.9352
-58,0,-19.9352
-57,0,-19.9352
-56,0,-19.9352
-55,0,-19.9352
-54,0,-19.9352
-53,0,-19.9352
-52,0,-19.9352
-51,0,-19.9352
-50,0,-19.9352
-49,0,-19.9352
-48,0,-19.9352
-47,0,-19.9352
-46,0,-19.9352
-45,0,-19.9352
-44,0,-19.9352
-43,0,-19.9352
-42,0,-19.9352
-41,0,-19.9352
-40,0,-19.9352
-39,0,-19.9352
-38,0,-19.9352
-37,0,-19.9352
-36,0,-19.9352
-35,0,-19.9352
-34,0,-19.9352
-33,0,-19.9352
-32,0,-19.9352
-31,0,-19.9352
-30,0,-19.9352
-29,0,-19.9352
-28,0,-19.9352
-27,0,-19.9352
-26,0,-19.9352
-25,0,-19.9352
-24,0,-19.9352
-23,0,-19.9352
-22,0,-19.9352
-21,0,-19.9352
-20,0,-19.9352
-19,0,-19.9352
-18,0,-19.9352
-17,0,-19.9352
-16,0,-19.9352
-15,0,-19.9352
-14,0,-19.9352
-13,0,-19.9352
-12,0,-19.9352
-11,0,-19.9352
-10,0,-19.9352
-9,0,-19.9352
-8,0,-19.9352
-7,0,-19.9352
-6,0,-19.9352
-5,0,-19.9352
-4,0,-19.9352
-3,0,-19.9352
-2,0,-19.9352
-1,0,-19.9352
0,0,-19.9352
1,0,-19.9352
2,0,-19.9352
3,0,-19.9352
4,0,-19.9352
5,0,-19.9352
6,0,-19.9352
7,0,-19.9352
8,0,-19.9352
9,0,-19.9352
10,0,-19.9352
11,0,-19.9352
12,0,-19.9352
13,0,-19.9352
14,0,-19.9352
15,0,-19.9352
16,0,-19.9352
17,0,-19.9352
18,0,-19.9352
19,0,-19.9352
20,0,-19.9352
21,0,-19.9352
22,0,-19.9352
23,0,-19.9352
24,0,-19.9352
25,0,-19.9352
26,0,-19.9352
27,0,-19.9352
28,0,-19.9352
29,0,-19.9352
30,0,-19.9352
31,0,-19.9352
32,0,-19.9352
33,0,-19.9352
34,0,-19.9352
35,0,-19.9352
36,0,-19.9352
37,0,-19.9352
38,0,-19.9352
39,0,-19.9352
40,0,-19.9352
41,0,-19.9352
42,0,-19.9352
43,0,-19.9352
44,0,-19.9352
45,0,-19.9352
46,0,-19.9352
47,0,-19.9352
48,0,-19.9352
49,0,-19.9352
50,0,-19.9352
51,0,-19.9352
52,0,-19.9352
53,0,-19.9352
54,0,-19.9352
55,0,-19.9352
56,0,-19.9352
57,0,-19.9352
58,0,-19.9352
59,0,-19.9352
60,0,-19.9352
61,0,-19.9352
62,0,-19.9352
63,0,-19.9352
64,0,-19.9352
65,0,-19.9352
66,0,-19.9352
67,0,-19.9352
68,0,-19.9352
69,0,-19.9352
70,0,-19.9352
71,0,-19.9352
72,0,-19.9352
73,0,-19.9352
74,0,-19.9352
75,0,-19.9352
76,0,-19.9352
77,0,-19.9352
78,0,-19.9352
79,0,-19.9352
80,0,-19.9352
81,0,-19.9352
