Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-16.5747
-89,0,-16.5747
-88,0,-16.5747
-87,0,-16.5747
-86,0,-16.5747
-85,0,-16.5747
-84,0,-16.5747
-83,0,-16.5747
-82,0,-16.5747
-81,0,-16.5747
-80,0,-16.5747
-79,0,-16.5747
-78,0,-16.5747
-77,0,-16.5747
-76,0,-16.5747
-75,0,-16.5747
-74,0,-16.5747
-73,0,-16.5747
-72,0,-16.5747
-71,0,-16.5747
-70,0,-16.5747
-69,0,-16.5747
-68,0,-16.5747
-67,0,-16.5747
-66,0,-16.5747
-65,0,-16.5747
-64,0,-16.5747
-63,0,-16.5747
-62,0,-16.5747
-61,0,-16.5747
-60,0,-16.5747
-59,0,-16.5747
-58,0,-16.5747
-57,0,-16.5747
-56,0,-16.5747
-55,0,-16.5747
-54,0,-16.5747
-53,0,-16.5747
-52,0,-16.5747
-51,0,-16.5747
-50,0,-16.5747
-49,0,-16.5747
-48,0,-16.5747
-47,0,-16.5747
-46,0,-16.5747
-45,0,-16.5747
-44,0,-16.5747
-43,0,-16.5747
-42,0,-16.5747
-41,0,-16.5747
-40,0,-16.5747
-39,0,-16.5747
-38,0,-16.5747
-37,0,-16.5747
-36,0,-16.5747
-35,0,-16.5747
-34,0,-16.5747
-33,0,-16.5747
-32,0,-16.5747
-31,0,-16.5747
-30,0,-16.5747
-29,0,-16.5747
-28,0,-16.5747
-27,0,-16.5747
-26,0,-16.5747
-25,0,-16.5747
-24,0,-16.5747
-23,0,-16.5747
-22,0,-16.5747
-21,0,-16.5747
-20,0,-16.5747
-19,0,-16.5747
-18,0,-16.5747
-17,0,-16.5747
-16,0,-16.5747
-15,0,-16.5747
-14,0,-16.5747
-13,0,-16.5747
-12,0,-16.5747
-11,0,-16.5747
-10,0,-16.5747
-9,0,-16.5747
-8,0,-16.5747
-7,0,-16.5747
-6,0,-16.5747
-5,0,-16.5747
-4,0,-16.5747
-3,0,-16.5747
-2,0,-16.5747
-1,0,-16.5747
0,0,-16.5747
1,0,-16.5747
2,0,-16.5747
3,0,-16.5747
4,0,-16.5747
5,0,-16.5747
6,0,-16.5747
7,0,-16.5747
8,0,-16.5747
9,0,-16.5747
10,0,-16.5747
11,0,-16.5747
12,0,-16.5747
13,0,-16.5747
14,0,-16.5747
15,0,-16.5747
16,0,-16.5747
17,0,-16.5747
18,0,-16.5747
19,0,-16.5747
20,0,-16.5747
21,0,-16.5747
22,0,-16.5747
23,0,-16.5747
24,0,-16.5747
25,0,-16.5747
26,0,-16.5747
27,0,-16.5747
28,0,-16.5747
29,0,-16.5747
30,0,-16.5747
31,0,-16.5747
32,0,-16.5747
33,0,-16.5747
34,0,-16.5747
35,0,-16.5747
36,0,-16.5747
37,0,-16.5747
38,0,-16.5747
39,0,-16.5747
40,0,-16.5747
41,0,-16.5747
42,0,-16.5747
43,0,-16.5747
44,0,-16.5747
45,0,-16.5747
46,0,-16.5747
47,0,-16.5747
48,0,-16.5747
