alpha11,beta11,az_angle,el_angle,simulation_time
2,2,0,90,21.3439178467
2,2,0,95,14.3754730225
2,2,0,100,13.8061523438
2,2,0,105,12.1651306152
2,2,0,110,12.9629974365
2,2,5,90,24.3189697266
2,2,5,95,26.2861022949
2,2,5,100,12.1654281616
2,2,5,105,12.5099105835
2,2,5,110,12.6667175293
2,2,10,90,12.5598602295
2,2,10,95,18.5766601563
2,2,10,100,20.1873931885
2,2,10,105,12.1659088135
2,2,10,110,12.7438049316
2,2,15,90,12.2754440308
2,2,15,95,12.1028976440
2,2,15,100,14.0585021973
2,2,15,105,14.6191864014
2,2,15,110,14.4025497437
2,2,20,90,12.1494827271
2,2,20,95,12.7934875488
2,2,20,100,18.1383438110
2,2,20,105,26.2559967041
2,2,20,110,14.3556900024
2,4,0,90,14.1659545898
2,4,0,95,14.1693801880
2,4,0,100,13.7746658325
2,4,0,105,12.1031875610
2,4,0,110,14.2148513794
2,4,5,90,26.5993728638
2,4,5,95,26.3199539185
2,4,5,100,14.0415802002
2,4,5,105,12.4220657349
2,4,5,110,14.6255187988
2,4,10,90,12.7345886230
2,4,10,95,24.3757247925
2,4,10,100,26.6098556519
2,4,10,105,12.4217300415
2,4,10,110,14.2970886230
2,4,15,90,12.8595886230
2,4,15,95,12.7346038818
2,4,15,100,14.1877441406
2,4,15,105,16.2346420288
2,4,15,110,14.5002593994
2,4,20,90,12.7815017700
2,4,20,95,14.1565170288
2,4,20,100,20.6878356934
2,4,20,105,26.3910675049
2,4,20,110,14.4221343994
2,6,0,90,14.1720809937
2,6,0,95,14.2346038818
2,6,0,100,12.9376983643
2,6,0,105,12.3127288818
2,6,0,110,14.3752136230
2,6,5,90,32.2661743164
2,6,5,95,23.0316009521
2,6,5,100,14.2345657349
2,6,5,105,14.2033843994
2,6,5,110,16.3596572876
2,6,10,90,13.8905868530
2,6,10,95,18.2815780640
2,6,10,100,26.4692077637
2,6,10,105,14.2190017700
2,6,10,110,15.0315017700
2,6,15,90,12.5158157349
2,6,15,95,12.2033462524
2,6,15,100,16.2346267700
2,6,15,105,16.7815170288
2,6,15,110,16.4065246582
2,6,20,90,13.8439788818
2,6,20,95,14.2033309937
2,6,20,100,26.3597793579
2,6,20,105,28.6879806519
2,6,20,110,15.1408920288
2,8,0,90,14.2189559937
2,8,0,95,16.1721267700
2,8,0,100,14.2502365112
2,8,0,105,12.3126983643
2,8,0,110,14.7971191406
2,8,5,90,26.6410369873
2,8,5,95,22.3284988403
2,8,5,100,14.1408462524
2,8,5,105,14.0627365112
2,8,5,110,15.1248397827
2,8,10,90,14.1255035400
2,8,10,95,18.3128051758
2,8,10,100,30.3129730225
2,8,10,105,12.8439712524
2,8,10,110,16.2971343994
2,8,15,90,14.1876983643
2,8,15,95,14.2658920288
2,8,15,100,16.0315170288
2,8,15,105,16.1877365112
2,8,15,110,14.3283615112
2,8,20,90,12.5783615112
2,8,20,95,14.2189788818
2,8,20,100,26.3910293579
2,8,20,105,30.4848632813
2,8,20,110,14.3752593994
4,2,0,90,14.2028274536
4,2,0,95,16.9534072876
4,2,0,100,14.2502441406
4,2,0,105,14.1565246582
4,2,0,110,14.7815170288
4,2,5,90,26.8285140991
4,2,5,95,24.1566467285
4,2,5,100,12.5470657349
4,2,5,105,12.7814636230
4,2,5,110,14.3905487061
4,2,10,90,12.9843215942
4,2,10,95,20.3441162109
4,2,10,100,20.2965850830
4,2,10,105,14.2189407349
4,2,10,110,13.2030487061
4,2,15,90,14.3283843994
4,2,15,95,14.2189559937
4,2,15,100,16.2184066772
4,2,15,105,16.1565017700
4,2,15,110,15.1877365112
4,2,20,90,14.0002136230
4,2,20,95,14.2970581055
4,2,20,100,22.9691619873
4,2,20,105,28.3754882813
4,2,20,110,16.8283920288
4,4,0,90,16.2033767700
4,4,0,95,16.2346038818
4,4,0,100,14.3908081055
4,4,0,105,14.3439636230
4,4,0,110,14.5002365112
4,4,5,90,26.3754043579
4,4,5,95,22.3284378052
4,4,5,100,14.2654342651
4,4,5,105,14.1095733643
4,4,5,110,18.3909378052
4,4,10,90,14.1877441406
4,4,10,95,26.6410751343
