alpha11,beta11,az_angle,el_angle,simulation_time
6,2,20,105,569.649696350
6,2,20,110,534.633369446
6,4,0,90,1455.27232361
6,4,0,95,1624.93045807
6,4,0,100,1564.86648560
6,4,0,105,1568.59001923
6,4,0,110,1363.62821198
6,4,5,90,641.719589233
6,4,5,95,648.341865540
6,4,5,100,686.513305664
6,4,5,105,621.475326538
6,4,5,110,628.270347595
6,4,10,90,551.810844421
6,4,10,95,548.965705872
6,4,10,100,565.324440002
6,4,10,105,565.354278564
6,4,10,110,599.338851929
6,4,15,90,567.008026123
6,4,15,95,590.054656982
6,4,15,100,557.271110535
6,4,15,105,537.644447327
6,4,15,110,602.021293640
6,4,20,90,544.768051147
6,4,20,95,572.971328735
6,4,20,100,538.781730652
6,4,20,105,500.295959473
6,4,20,110,524.686737061
6,6,0,90,1597.55785370
6,6,0,95,1571.14714050
6,6,0,100,1583.89432526
6,6,0,105,1563.34452057
6,6,0,110,1354.18235016
6,6,5,90,692.325279236
6,6,5,95,641.824096680
6,6,5,100,662.714790344
6,6,5,105,619.870094299
6,6,5,110,702.840034485
6,6,10,90,573.415832520
6,6,10,95,549.149597168
6,6,10,100,601.353469849
6,6,10,105,579.790512085
6,6,10,110,601.400131226
6,6,15,90,601.790084839
6,6,15,95,573.196311951
6,6,15,100,563.883293152
6,6,15,105,576.930603027
6,6,15,110,536.961135864
6,6,20,90,569.055244446
6,6,20,95,563.586380005
6,6,20,100,611.540145874
6,6,20,105,531.242080688
6,6,20,110,567.865264893
6,8,0,90,1603.28482056
6,8,0,95,1644.47092438
6,8,0,100,1528.05741882
6,8,0,105,1421.99370575
6,8,0,110,1354.43544006
6,8,5,90,717.794830322
6,8,5,95,613.867416382
6,8,5,100,631.913742065
6,8,5,105,616.146522522
6,8,5,110,644.412040710
6,8,10,90,623.956993103
6,8,10,95,569.017280579
6,8,10,100,638.096717834
6,8,10,105,597.626060486
6,8,10,110,583.609588623
6,8,15,90,581.608856201
6,8,15,95,595.655487061
6,8,15,100,609.921051025
6,8,15,105,583.123039246
6,8,15,110,547.059272766
6,8,20,90,599.341316223
6,8,20,95,557.215042114
6,8,20,100,576.058853149
6,8,20,105,537.167190552
6,8,20,110,530.854339600
8,2,0,90,1613.56209564
8,2,0,95,1511.82418823
8,2,0,100,1466.43159485
8,2,0,105,1651.98046875
8,2,0,110,1394.35044098
8,2,5,90,680.416870117
8,2,5,95,674.526054382
8,2,5,100,678.729118347
8,2,5,105,674.885231018
8,2,5,110,661.931816101
8,2,10,90,522.273368835
8,2,10,95,549.555030823
8,2,10,100,563.586380005
8,2,10,105,591.432060242
8,2,10,110,553.247962952
8,2,15,90,526.696578979
8,2,15,95,563.572029114
8,2,15,100,537.349235535
8,2,15,105,516.345924377
8,2,15,110,504.781494141
8,2,20,90,549.032150269
8,2,20,95,512.622314453
8,2,20,100,553.591735840
8,2,20,105,551.058586121
8,2,20,110,504.399063110
8,4,0,90,1597.14782715
8,4,0,95,1534.65238953
8,4,0,100,1475.51878357
8,4,0,105,1623.48674774
8,4,0,110,1419.47632599
8,4,5,90,684.251869202
8,4,5,95,717.767639160
8,4,5,100,733.689605713
8,4,5,105,718.938217163
8,4,5,110,700.952819824
8,4,10,90,601.606552124
8,4,10,95,589.652755737
8,4,10,100,547.182899475
8,4,10,105,571.886238098
8,4,10,110,599.870658875
8,4,15,90,533.150642395
8,4,15,95,646.105644226
8,4,15,100,569.853996277
8,4,15,105,575.697685242
8,4,15,110,546.478248596
8,4,20,90,548.868759155
8,4,20,95,530.633979797
8,4,20,100,537.587028503
8,4,20,105,535.165023804
8,4,20,110,542.008819580
8,6,0,90,1714.85541534
8,6,0,95,1528.67981720
8,6,0,100,1622.10251617
8,6,0,105,1510.66282654
8,6,0,110,1471.07011414
8,6,5,90,810.636695862
8,6,5,95,812.413536072
8,6,5,100,670.494552612
8,6,5,105,743.605491638
8,6,5,110,773.900848389
8,6,10,90,585.763862610
8,6,10,95,617.498146057
8,6,10,100,640.028503418
8,6,10,105,548.960624695
8,6,10,110,587.570747375
8,6,15,90,603.226463318
8,6,15,95,571.192924500
8,6,15,100,569.066955566
8,6,15,105,579.300750732
8,6,15,110,561.033882141
8,6,20,90,575.486053467
8,6,20,95,583.548622131
8,6,20,100,540.984260559
8,6,20,105,561.109230042
8,6,20,110,579.515396118
8,8,0,90,1548.92930603
8,8,0,95,1729.39881134
8,8,0,100,1818.27239227
8,8,0,105,1581.28077698
8,8,0,110,1488.29302979
8,8,5,90,734.638015747
8,8,5,95,769.732070923
8,8,5,100,807.654365540
8,8,5,105,765.372100830
8,8,5,110,725.230606079
8,8,10,90,569.509078979
8,8,10,95,638.338737488
8,8,10,100,632.228683472
8,8,10,105,569.321304321
8,8,10,110,586.212081909
8,8,15,90,569.055526733
8,8,15,95,549.180160522
8,8,15,100,589.602523804
8,8,15,105,557.352012634
8,8,15,110,606.508964539
8,8,20,90,565.336349487
8,8,20,95,566.919029236
8,8,20,100,565.092658997
8,8,20,105,639.626823425
8,8,20,110,607.012054443
