alpha11,beta11,az_angle,el_angle,simulation_time
2,2,0,90,20.5909194946
2,2,0,95,15.9620895386
2,2,0,100,14.2395324707
2,2,0,105,14.5321960449
2,2,0,110,14.2091903687
2,2,5,90,14.8842010498
2,2,5,95,14.7882003784
2,2,5,100,14.3122024536
2,2,5,105,14.6732025146
2,2,5,110,14.3491973877
2,2,10,90,14.6452102661
2,2,10,95,16.0992126465
2,2,10,100,14.7222061157
2,2,10,105,14.2041473389
2,2,10,110,16.1128005981
2,2,15,90,14.4521484375
2,2,15,95,14.2721557617
2,2,15,100,14.3764114380
2,2,15,105,14.1721572876
2,2,15,110,14.5681533813
2,2,20,90,14.3901443481
2,2,20,95,14.1711425781
2,2,20,100,14.1851577759
2,2,20,105,14.1631240845
2,2,20,110,14.1211547852
2,4,0,90,12.2051315308
2,4,0,95,14.5521545410
2,4,0,100,14.4411544800
2,4,0,105,14.2051239014
2,4,0,110,14.3501205444
2,4,5,90,15.8741302490
2,4,5,95,14.4661102295
2,4,5,100,14.5891189575
2,4,5,105,14.3981094360
2,4,5,110,20.6801605225
2,4,10,90,14.3531112671
2,4,10,95,20.0361557007
2,4,10,100,14.2431259155
2,4,10,105,14.1951293945
2,4,10,110,14.1061096191
2,4,15,90,14.3301239014
2,4,15,95,14.4241180420
2,4,15,100,14.1950912476
2,4,15,105,14.3580856323
2,4,15,110,14.2000732422
2,4,20,90,14.5781021118
2,4,20,95,14.2700958252
2,4,20,100,14.5691070557
2,4,20,105,14.2671051025
2,4,20,110,18.0011138916
2,6,0,90,12.2090606689
2,6,0,95,14.8910827637
2,6,0,100,14.2489318848
2,6,0,105,14.3850860596
2,6,0,110,14.2137603760
2,6,5,90,16.0549392700
2,6,5,95,18.2390747070
2,6,5,100,14.4958572388
2,6,5,105,14.1488265991
2,6,5,110,14.3888626099
2,6,10,90,17.8970489502
2,6,10,95,14.6532211304
2,6,10,100,14.4238586426
2,6,10,105,14.1808395386
2,6,10,110,14.2488250732
2,6,15,90,14.1668319702
2,6,15,95,14.9218673706
2,6,15,100,14.2368316650
2,6,15,105,14.1843032837
2,6,15,110,14.1536178589
