alpha11,beta11,az_angle,el_angle,simulation_time
4,8,20,100,116.519897461
4,8,20,105,116.285247803
4,8,20,110,113.941246033
6,2,0,90,76.8149642944
6,2,0,95,125.941322327
6,2,0,100,119.722259521
6,2,0,105,124.972290039
6,2,0,110,118.221542358
6,2,5,90,125.971931458
6,2,5,95,119.877990723
6,2,5,100,111.705780029
6,2,5,105,121.846466064
6,2,5,110,120.299522400
6,2,10,90,125.674537659
6,2,10,95,113.752273560
6,2,10,100,122.283592224
6,2,10,105,118.127273560
6,2,10,110,105.267562866
6,2,15,90,115.705116272
6,2,15,95,122.064567566
6,2,15,100,119.642578125
6,2,15,105,113.423667908
6,2,15,110,116.251792908
6,2,20,90,168.252464294
6,2,20,95,117.782875061
6,2,20,100,112.157730103
6,2,20,105,107.657699585
6,2,20,110,115.616165161
6,4,0,90,73.5822982788
6,4,0,95,119.819374084
6,4,0,100,121.975242615
6,4,0,105,119.771614075
6,4,0,110,117.505691528
6,4,5,90,129.756027222
6,4,5,95,153.381736755
6,4,5,100,123.723793030
6,4,5,105,117.567108154
6,4,5,110,119.723365784
6,4,10,90,112.050918579
6,4,10,95,130.207511902
6,4,10,100,117.738189697
6,4,10,105,115.706809998
6,4,10,110,113.581512451
6,4,15,90,109.893722534
6,4,15,95,117.878242493
6,4,15,100,109.768531799
6,4,15,105,118.034179688
6,4,15,110,113.486793518
6,4,20,90,121.674652100
6,4,20,95,120.127708435
6,4,20,100,119.721275330
6,4,20,105,117.392944336
6,4,20,110,109.611526489
6,6,0,90,75.1104888916
6,6,0,95,124.080360413
6,6,0,100,111.845672607
6,6,0,105,124.080230713
6,6,0,110,115.611289978
6,6,5,90,107.564132690
6,6,5,95,124.001831055
6,6,5,100,111.517250061
6,6,5,105,112.126579285
6,6,5,110,111.595222473
6,6,10,90,125.751670837
6,6,10,95,115.798362732
6,6,10,100,122.267135620
6,6,10,105,111.595069885
6,6,10,110,110.016921997
6,6,15,90,123.954559326
6,6,15,95,121.751373291
6,6,15,100,103.829231262
6,6,15,105,102.344779968
6,6,15,110,117.704338074
6,6,20,90,121.704307556
6,6,20,95,119.985534668
6,6,20,100,119.579238892
6,6,20,105,107.391647339
6,6,20,110,114.485427856
6,8,0,90,75.2819137573
6,8,0,95,119.797950745
6,8,0,100,107.625961304
6,8,0,105,107.532150269
6,8,0,110,114.516593933
6,8,5,90,126.235374451
6,8,5,95,111.860298157
6,8,5,100,123.954124451
6,8,5,105,119.641548157
6,8,5,110,107.532066345
6,8,10,90,111.440376282
6,8,10,95,119.704025269
6,8,10,100,121.704002380
6,8,10,105,107.797676086
6,8,10,110,106.563339233
6,8,15,90,123.891807556
6,8,15,95,108.578933716
6,8,15,100,121.422721863
6,8,15,105,99.4537734985
6,8,15,110,105.610084534
6,8,20,90,119.816131592
6,8,20,95,107.776771545
6,8,20,100,119.698997498
6,8,20,105,117.698043823
6,8,20,110,111.540634155
8,2,0,90,77.9126663208
8,2,0,95,124.556556702
8,2,0,100,121.742706299
8,2,0,105,121.398872375
8,2,0,110,117.601226807
8,2,5,90,125.851417542
8,2,5,95,115.881805420
8,2,5,100,111.615524292
8,2,5,105,123.803222656
8,2,5,110,119.708915710
8,2,10,90,124.583732605
8,2,10,95,98.0980529785
8,2,10,100,121.770774841
8,2,10,105,109.723114014
8,2,10,110,99.3474426270
8,2,15,90,115.629035950
8,2,15,95,106.206657410
8,2,15,100,109.675453186
8,2,15,105,111.690956116
8,2,15,110,117.815925598
8,2,20,90,124.128395081
8,2,20,95,117.878051758
8,2,20,100,120.706100464
8,2,20,105,117.877815247
8,2,20,110,114.205726624
8,4,0,90,75.2359924316
8,4,0,95,126.096374512
8,4,0,100,121.768013000
8,4,0,105,111.798980713
8,4,0,110,117.674026489
8,4,5,90,117.627059937
8,4,5,95,108.392478943
8,4,5,100,117.736267090
8,4,5,105,121.720626831
8,4,5,110,99.2358016968
8,4,10,90,109.595329285
8,4,10,95,114.064033508
8,4,10,100,117.798469543
8,4,10,105,121.673431396
8,4,10,110,114.329589844
8,4,15,90,119.736473083
8,4,15,95,117.970123291
8,4,15,100,119.782592773
8,4,15,105,119.751327515
8,4,15,110,117.751228333
8,4,20,90,89.2665710449
8,4,20,95,105.594810486
8,4,20,100,100.251022339
8,4,20,105,103.532241821
8,4,20,110,111.266708374
8,6,0,90,81.2507095337
8,6,0,95,124.219902039
8,6,0,100,119.501106262
8,6,0,105,194.892311096
8,6,0,110,135.876167297
8,6,5,90,120.094757080
8,6,5,95,126.672950745
8,6,5,100,95.3288726807
8,6,5,105,121.657188416
8,6,5,110,101.500823975
8,6,10,90,127.841171265
8,6,10,95,116.370468140
8,6,10,100,122.370216370
8,6,10,105,113.837532043
8,6,10,110,120.243690491
8,6,15,90,122.008407593
8,6,15,95,113.929649353
8,6,15,100,121.664047241
8,6,15,105,93.6463775635
8,6,15,110,117.803764343
8,6,20,90,102.083724976
8,6,20,95,92.1765899658
8,6,20,100,99.9579315186
8,6,20,105,119.427238464
8,6,20,110,117.864318848
8,8,0,90,74.9249191284
8,8,0,95,114.082572937
8,8,0,100,113.722930908
8,8,0,105,119.816680908
8,8,0,110,113.722496033
8,8,5,90,103.565734863
8,8,5,95,115.972122192
8,8,5,100,101.565261841
8,8,5,105,140.144294739
8,8,5,110,99.4555664063
8,8,10,90,126.034194946
8,8,10,95,125.893417358
8,8,10,100,123.533866882
8,8,10,105,121.924316406
8,8,10,110,119.892913818
8,8,15,90,109.970764160
8,8,15,95,110.548812866
8,8,15,100,121.736473083
8,8,15,105,119.986312866
8,8,15,110,97.3296432495
8,8,20,90,124.532844543
8,8,20,95,97.5795211792
8,8,20,100,120.157936096
8,8,20,105,95.8919296265
8,8,20,110,115.595237732
