alpha11,beta11,az_angle,el_angle,simulation_time
6,2,10,100,60.8294830322
6,2,10,105,24.5630722046
6,2,10,110,27.0005874634
6,2,15,90,28.4537658691
6,2,15,95,30.3600006104
6,2,15,100,34.5788574219
6,2,15,105,32.7506866455
6,2,15,110,32.4850692749
6,2,20,90,27.1724319458
6,2,20,95,27.0161666870
6,2,20,100,55.4230728149
6,2,20,105,89.189453125
6,2,20,110,40.9071197510
6,4,0,90,30.4850158691
6,4,0,95,28.4537353516
6,4,0,100,28.4849166870
6,4,0,105,26.6411361694
6,4,0,110,30.6412658691
6,4,5,90,93.7675628662
6,4,5,95,59.5012054443
6,4,5,100,28.5005722046
6,4,5,105,27.0787124634
6,4,5,110,34.4694595337
6,4,10,90,29.0006179810
6,4,10,95,73.1424255371
6,4,10,100,83.2359924316
6,4,10,105,28.8911743164
6,4,10,110,30.5162277222
6,4,15,90,27.1567611694
6,4,15,95,28.5161972046
6,4,15,100,28.8912048340
6,4,15,105,32.7506179810
6,4,15,110,28.4846343994
6,4,20,90,29.0162048340
6,4,20,95,32.5628433228
6,4,20,100,71.3760910034
6,4,20,105,75.7671279907
6,4,20,110,33.0631561279
6,6,0,90,36.6256866455
6,6,0,95,49.3759613037
6,6,0,100,28.5005340576
6,6,0,105,26.6098937988
6,6,0,110,32.4850387573
6,6,5,90,83.2359390259
6,6,5,95,75.2514419556
6,6,5,100,30.6411819458
6,6,5,105,27.2817993164
6,6,5,110,30.5474929810
6,6,10,90,28.6255111694
6,6,10,95,68.7981796265
6,6,10,100,68.7512893677
6,6,10,105,26.9223861694
6,6,10,110,28.5005340576
6,6,15,90,28.5317687988
6,6,15,95,27.1098480225
6,6,15,100,35.1256561279
6,6,15,105,32.8599853516
6,6,15,110,30.6255950928
6,6,20,90,30.4538497925
6,6,20,95,33.2349929810
6,6,20,100,66.8606109619
6,6,20,105,85.3140945435
6,6,20,110,43.0633087158
6,8,0,90,31.1099548340
6,8,0,95,36.6256790161
6,8,0,100,32.5474700928
6,8,0,105,27.4692764282
6,8,0,110,36.5628662109
6,8,5,90,89.0953445435
6,8,5,95,63.5011215210
6,8,5,100,30.5161285400
6,8,5,105,26.7353591919
6,8,5,110,33.2662658691
6,8,10,90,28.5004806519
6,8,10,95,58.9697952271
6,8,10,100,79.2666091919
6,8,10,105,28.7036285400
6,8,10,110,32.6255722046
6,8,15,90,27.0317153931
6,8,15,95,31.4224166870
6,8,15,100,48.7664642334
6,8,15,105,33.2036666870
6,8,15,110,30.5473937988
6,8,20,90,28.5004653931
6,8,20,95,30.6098709106
6,8,20,100,93.3141021729
6,8,20,105,83.3920898438
6,8,20,110,35.3131027222
8,2,0,90,32.8596954346
8,2,0,95,34.9224700928
8,2,0,100,30.6723785400
8,2,0,105,30.5161132813
8,2,0,110,37.4068679810
8,2,5,90,84.1891098022
