Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-18.4281
-89,0,-18.4281
-88,0,-18.4281
-87,0,-18.4281
-86,0,-18.4281
-85,0,-18.4281
-84,0,-18.4281
-83,0,-18.4281
-82,0,-18.4281
-81,0,-18.4281
-80,0,-18.4281
-79,0,-18.4281
-78,0,-18.4281
-77,0,-18.4281
-76,0,-18.4281
-75,0,-18.4281
-74,0,-18.4281
-73,0,-18.4281
-72,0,-18.4281
-71,0,-18.4281
-70,0,-18.4281
-69,0,-18.4281
-68,0,-18.4281
-67,0,-18.4281
-66,0,-18.4281
-65,0,-18.4281
-64,0,-18.4281
-63,0,-18.4281
-62,0,-18.4281
-61,0,-18.4281
-60,0,-18.4281
-59,0,-18.4281
-58,0,-18.4281
-57,0,-18.4281
-56,0,-18.4281
-55,0,-18.4281
-54,0,-18.4281
-53,0,-18.4281
-52,0,-18.4281
-51,0,-18.4281
-50,0,-18.4281
-49,0,-18.4281
-48,0,-18.4281
-47,0,-18.4281
-46,0,-18.4281
-45,0,-18.4281
-44,0,-18.4281
-43,0,-18.4281
-42,0,-18.4281
-41,0,-18.4281
-40,0,-18.4281
-39,0,-18.4281
-38,0,-18.4281
-37,0,-18.4281
-36,0,-18.4281
-35,0,-18.4281
-34,0,-18.4281
-33,0,-18.4281
-32,0,-18.4281
-31,0,-18.4281
-30,0,-18.4281
-29,0,-18.4281
-28,0,-18.4281
-27,0,-18.4281
-26,0,-18.4281
-25,0,-18.4281
-24,0,-18.4281
-23,0,-18.4281
-22,0,-18.4281
-21,0,-18.4281
-20,0,-18.4281
-19,0,-18.4281
-18,0,-18.4281
-17,0,-18.4281
-16,0,-18.4281
-15,0,-18.4281
-14,0,-18.4281
-13,0,-18.4281
-12,0,-18.4281
-11,0,-18.4281
-10,0,-18.4281
-9,0,-18.4281
-8,0,-18.4281
-7,0,-18.4281
-6,0,-18.4281
-5,0,-18.4281
-4,0,-18.4281
-3,0,-18.4281
-2,0,-18.4281
-1,0,-18.4281
0,0,-18.4281
1,0,-18.4281
2,0,-18.4281
3,0,-18.4281
4,0,-18.4281
5,0,-18.4281
6,0,-18.4281
7,0,-18.4281
8,0,-18.4281
9,0,-18.4281
10,0,-18.4281
11,0,-18.4281
12,0,-18.4281
13,0,-18.4281
14,0,-18.4281
15,0,-18.4281
16,0,-18.4281
17,0,-18.4281
18,0,-18.4281
19,0,-18.4281
20,0,-18.4281
21,0,-18.4281
22,0,-18.4281
23,0,-18.4281
24,0,-18.4281
25,0,-18.4281
26,0,-18.4281
27,0,-18.4281
28,0,-18.4281
29,0,-18.4281
30,0,-18.4281
31,0,-18.4281
32,0,-18.4281
33,0,-18.4281
34,0,-18.4281
35,0,-18.4281
36,0,-18.4281
37,0,-18.4281
38,0,-18.4281
39,0,-18.4281
40,0,-18.4281
41,0,-18.4281
42,0,-18.4281
43,0,-18.4281
44,0,-18.4281
45,0,-18.4281
46,0,-18.4281
47,0,-18.4281
48,0,-18.4281
49,0,-18.4281
50,0,-18.4281
51,0,-18.4281
52,0,-18.4281
53,0,-18.4281
54,0,-18.4281
55,0,-18.4281
56,0,-18.4281
57,0,-18.4281
58,0,-18.4281
59,0,-18.4281
60,0,-18.4281
61,0,-18.4281
62,0,-18.4281
63,0,-18.4281
64,0,-18.4281
65,0,-18.4281
66,0,-18.4281
67,0,-18.4281
68,0,-18.4281
69,0,-18.4281
70,0,-18.4281
71,0,-18.4281
72,0,-18.4281
73,0,-18.4281
74,0,-18.4281
75,0,-18.4281
76,0,-18.4281
77,0,-18.4281
78,0,-18.4281
79,0,-18.4281
80,0,-18.4281
81,0,-18.4281
82,0,-18.4281
83,0,-18.4281
84,0,-18.4281
85,0,-18.4281
86,0,-18.4281
87,0,-18.4281
88,0,-18.4281
89,0,-18.4281
90,0,-18.4281
-90,1,-18.868
-89,1,-22.3827
-88,1,-22.3824
-87,1,-22.3818
-86,1,-22.381
-85,1,-22.38
-84,1,-22.3788
-83,1,-22.3773
-82,1,-22.3756
-81,1,-22.3736
-80,1,-22.3715
-79,1,-22.3691
-78,1,-22.3665
-77,1,-22.3637
-76,1,-22.3607
-75,1,-22.3575
-74,1,-22.3541
-73,1,-22.3505
-72,1,-22.3467
-71,1,-22.3428
-70,1,-22.3386
-69,1,-22.3343
-68,1,-22.3298
-67,1,-22.3251
-66,1,-22.3203
-65,1,-22.3153
-64,1,-22.3102
-63,1,-22.3049
-62,1,-22.2995
-61,1,-22.294
-60,1,-22.2884
-59,1,-22.2826
-58,1,-22.2768
-57,1,-22.2708
-56,1,-22.2647
-55,1,-22.2586
-54,1,-22.2524
-53,1,-22.2461
-52,1,-22.2398
-51,1,-22.2334
-50,1,-22.2269
-49,1,-22.2204
-48,1,-22.2139
-47,1,-22.2074
-46,1,-22.2008
-45,1,-22.1943
-44,1,-22.1877
-43,1,-22.1812
-42,1,-22.1747
-41,1,-22.1682
-40,1,-22.1617
-39,1,-22.1553
-38,1,-22.1489
-37,1,-22.1426
-36,1,-22.1363
-35,1,-22.1301
-34,1,-22.124
-33,1,-22.118
-32,1,-22.1121
-31,1,-22.1063
-30,1,-22.1006
-29,1,-22.095
-28,1,-22.0895
-27,1,-22.0842
-26,1,-22.079
-25,1,-22.0739
-24,1,-22.069
-23,1,-22.0642
-22,1,-22.0596
-21,1,-22.0552
-20,1,-22.0509
-19,1,-22.0468
-18,1,-22.0429
-17,1,-22.0391
-16,1,-22.0356
-15,1,-22.0322
-14,1,-22.0291
-13,1,-22.0261
-12,1,-22.0234
-11,1,-22.0208
-10,1,-22.0185
-9,1,-22.0164
-8,1,-22.0145
-7,1,-22.0128
-6,1,-22.0114
-5,1,-22.0101
-4,1,-22.0091
-3,1,-21.9216
-2,1,-21.9211
-1,1,-21.9207
0,1,-21.9206
1,1,-21.9207
2,1,-21.9211
3,1,-21.9216
4,1,-22.0091
5,1,-22.0101
6,1,-22.0114
7,1,-22.0128
8,1,-22.0145
9,1,-22.0164
10,1,-22.0185
11,1,-22.0208
12,1,-22.0234
13,1,-22.0261
14,1,-22.0291
15,1,-22.0322
16,1,-22.0356
17,1,-22.0391
18,1,-22.0429
19,1,-22.0468
20,1,-22.0509
21,1,-22.0552
22,1,-22.0596
23,1,-22.0642
24,1,-22.069
25,1,-22.0739
26,1,-22.079
27,1,-22.0842
28,1,-22.0895
29,1,-22.095
30,1,-22.1006
31,1,-22.1063
32,1,-22.1121
33,1,-22.118
34,1,-22.124
35,1,-22.1301
36,1,-22.1363
37,1,-22.1426
38,1,-22.1489
39,1,-22.1553
40,1,-22.1617
41,1,-22.1682
42,1,-22.1747
43,1,-22.1812
44,1,-22.1877
45,1,-22.1943
46,1,-22.2008
47,1,-22.2074
48,1,-22.2139
49,1,-22.2204
50,1,-22.2269
51,1,-22.2334
52,1,-22.2398
53,1,-22.2461
54,1,-22.2524
55,1,-22.2586
56,1,-22.2647
57,1,-22.2708
58,1,-22.2768
59,1,-22.2826
60,1,-22.2884
61,1,-22.294
62,1,-22.2995
63,1,-22.3049
64,1,-22.3102
65,1,-22.3153
66,1,-22.3203
67,1,-22.3251
68,1,-22.3298
69,1,-22.3343
70,1,-22.3386
71,1,-22.3428
72,1,-22.3467
73,1,-22.3505
74,1,-22.3541
75,1,-22.3575
76,1,-22.3607
77,1,-22.3637
78,1,-22.3665
79,1,-22.3691
80,1,-22.3715
81,1,-22.3736
82,1,-22.3756
83,1,-22.3773
84,1,-22.3788
85,1,-22.38
86,1,-22.381
87,1,-22.3818
88,1,-22.3824
89,1,-22.3827
90,1,-18.868
-90,2,-20.1525
-89,2,-23.5103
-88,2,-23.5089
-87,2,-23.5064
-86,2,-23.503
-85,2,-23.4987
-84,2,-23.4933
-83,2,-23.487
-82,2,-23.4798
-81,2,-23.4717
-80,2,-23.4626
-79,2,-23.4526
-78,2,-23.4417
-77,2,-23.4299
-76,2,-23.4173
-75,2,-23.4038
-74,2,-23.3895
-73,2,-23.3744
-72,2,-23.3584
-71,2,-23.3417
-70,2,-23.3243
-69,2,-23.3061
-68,2,-23.2873
-67,2,-23.2677
-66,2,-23.2475
-65,2,-23.2267
-64,2,-23.2053
-63,2,-23.1833
-62,2,-23.1608
-61,2,-23.1377
-60,2,-23.1142
-59,2,-23.0902
-58,2,-23.0658
-57,2,-23.0411
-56,2,-23.0159
-55,2,-22.9904
-54,2,-22.9647
-53,2,-22.9387
-52,2,-22.9124
-51,2,-22.886
-50,2,-22.8593
-49,2,-22.8326
-48,2,-22.8058
-47,2,-22.7789
-46,2,-22.7519
-45,2,-22.725
-44,2,-22.6981
-43,2,-22.6712
-42,2,-22.6445
-41,2,-22.6179
-40,2,-22.5915
-39,2,-22.5652
-38,2,-22.5392
-37,2,-22.5134
-36,2,-22.488
-35,2,-22.4628
-34,2,-22.438
-33,2,-22.4136
-32,2,-22.3895
-31,2,-22.3659
-30,2,-22.3428
-29,2,-22.3201
-28,2,-22.298
-27,2,-22.2764
-26,2,-22.2553
-25,2,-22.2349
-24,2,-22.215
-23,2,-22.1958
-22,2,-22.1773
-21,2,-22.1594
-20,2,-22.1422
-19,2,-22.1257
-18,2,-22.1099
-17,2,-22.0949
-16,2,-22.0807
-15,2,-22.0673
-14,2,-22.0546
-13,2,-22.0428
-12,2,-22.0317
-11,2,-22.0216
-10,2,-22.0122
-9,2,-22.0037
-8,2,-21.9961
-7,2,-21.9894
-6,2,-21.9836
-5,2,-21.9786
-4,2,-21.9745
-3,2,-21.9714
-2,2,-21.9691
-1,2,-21.8811
0,2,-21.8806
1,2,-21.8811
2,2,-21.9691
3,2,-21.9714
4,2,-21.9745
5,2,-21.9786
6,2,-21.9836
7,2,-21.9894
8,2,-21.9961
9,2,-22.0037
10,2,-22.0122
11,2,-22.0216
12,2,-22.0317
13,2,-22.0428
14,2,-22.0546
15,2,-22.0673
16,2,-22.0807
17,2,-22.0949
18,2,-22.1099
19,2,-22.1257
20,2,-22.1422
21,2,-22.1594
22,2,-22.1773
23,2,-22.1958
24,2,-22.215
25,2,-22.2349
26,2,-22.2553
27,2,-22.2764
28,2,-22.298
29,2,-22.3201
30,2,-22.3428
31,2,-22.3659
32,2,-22.3895
33,2,-22.4136
34,2,-22.438
35,2,-22.4628
36,2,-22.488
37,2,-22.5134
38,2,-22.5392
39,2,-22.5652
40,2,-22.5915
41,2,-22.6179
42,2,-22.6445
43,2,-22.6712
44,2,-22.6981
45,2,-22.725
46,2,-22.7519
47,2,-22.7789
48,2,-22.8058
49,2,-22.8326
50,2,-22.8593
51,2,-22.886
52,2,-22.9124
53,2,-22.9387
54,2,-22.9647
55,2,-22.9904
56,2,-23.0159
57,2,-23.0411
58,2,-23.0658
59,2,-23.0902
60,2,-23.1142
61,2,-23.1377
62,2,-23.1608
63,2,-23.1833
64,2,-23.2053
65,2,-23.2267
66,2,-23.2475
67,2,-23.2677
68,2,-23.2873
69,2,-23.3061
70,2,-23.3243
71,2,-23.3417
72,2,-23.3584
73,2,-23.3744
74,2,-23.3895
75,2,-23.4038
76,2,-23.4173
77,2,-23.4299
78,2,-23.4417
79,2,-23.4526
80,2,-23.4626
81,2,-23.4717
82,2,-23.4798
83,2,-23.487
84,2,-23.4933
85,2,-23.4987
86,2,-23.503
87,2,-23.5064
88,2,-23.5089
89,2,-23.5103
90,2,-20.1525
-90,3,-22.4456
-89,3,-25.5826
-88,3,-25.5789
-87,3,-25.5728
-86,3,-25.5643
-85,3,-25.5534
-84,3,-25.54
-83,3,-25.5243
-82,3,-25.5063
-81,3,-25.4859
-80,3,-25.4633
-79,3,-25.4384
-78,3,-25.4113
-77,3,-25.382
-76,3,-25.3506
-75,3,-25.3171
-74,3,-25.2816
-73,3,-25.2441
-72,3,-25.2048
-71,3,-25.1635
-70,3,-25.1205
-69,3,-25.0758
-68,3,-25.0294
-67,3,-24.9814
-66,3,-24.9318
-65,3,-24.8809
-64,3,-24.8285
-63,3,-24.7749
-62,3,-24.72
-61,3,-24.664
-60,3,-24.6069
-59,3,-24.5488
-58,3,-24.4898
-57,3,-24.43
-56,3,-24.3694
-55,3,-24.3082
-54,3,-24.2463
-53,3,-24.184
-52,3,-24.1212
-51,3,-24.0581
-50,3,-23.9947
-49,3,-23.9311
-48,3,-23.8674
-47,3,-23.8036
-46,3,-23.74
-45,3,-23.6764
-44,3,-23.613
-43,3,-23.5499
-42,3,-23.4872
-41,3,-23.4248
-40,3,-23.363
-39,3,-23.3017
-38,3,-23.2411
-37,3,-23.1811
-36,3,-23.122
-35,3,-23.0636
-34,3,-23.0062
-33,3,-22.9497
-32,3,-22.8942
-31,3,-22.8398
-30,3,-22.7866
-29,3,-22.7345
-28,3,-22.6837
-27,3,-22.6342
-26,3,-22.586
-25,3,-22.5393
-24,3,-22.4939
-23,3,-22.4501
-22,3,-22.4078
-21,3,-22.3671
-20,3,-22.3281
-19,3,-22.2906
-18,3,-22.2549
-17,3,-22.2209
-16,3,-22.1887
-15,3,-22.1583
-14,3,-22.1297
-13,3,-22.1029
-12,3,-22.078
-11,3,-22.0551
-10,3,-22.034
-9,3,-22.0149
-8,3,-21.9978
-7,3,-21.9826
-6,3,-21.9694
-5,3,-21.9583
-4,3,-21.9491
-3,3,-21.942
-2,3,-21.9369
-1,3,-21.8924
0,3,-21.8453
1,3,-21.8924
2,3,-21.9369
3,3,-21.942
4,3,-21.9491
5,3,-21.9583
6,3,-21.9694
7,3,-21.9826
8,3,-21.9978
9,3,-22.0149
10,3,-22.034
11,3,-22.0551
12,3,-22.078
13,3,-22.1029
14,3,-22.1297
15,3,-22.1583
16,3,-22.1887
17,3,-22.2209
18,3,-22.2549
19,3,-22.2906
20,3,-22.3281
21,3,-22.3671
22,3,-22.4078
23,3,-22.4501
24,3,-22.4939
25,3,-22.5393
26,3,-22.586
27,3,-22.6342
28,3,-22.6837
29,3,-22.7345
30,3,-22.7866
31,3,-22.8398
32,3,-22.8942
33,3,-22.9497
34,3,-23.0062
35,3,-23.0636
36,3,-23.122
37,3,-23.1811
38,3,-23.2411
39,3,-23.3017
40,3,-23.363
41,3,-23.4248
42,3,-23.4872
43,3,-23.5499
44,3,-23.613
45,3,-23.6764
46,3,-23.74
47,3,-23.8036
48,3,-23.8674
49,3,-23.9311
50,3,-23.9947
51,3,-24.0581
52,3,-24.1212
53,3,-24.184
54,3,-24.2463
55,3,-24.3082
56,3,-24.3694
57,3,-24.43
58,3,-24.4898
59,3,-24.5488
60,3,-24.6069
61,3,-24.664
62,3,-24.72
63,3,-24.7749
64,3,-24.8285
65,3,-24.8809
66,3,-24.9318
67,3,-24.9814
68,3,-25.0294
69,3,-25.0758
70,3,-25.1205
71,3,-25.1635
72,3,-25.2048
73,3,-25.2441
74,3,-25.2816
75,3,-25.3171
76,3,-25.3506
77,3,-25.382
78,3,-25.4113
79,3,-25.4384
80,3,-25.4633
81,3,-25.4859
82,3,-25.5063
83,3,-25.5243
84,3,-25.54
85,3,-25.5534
86,3,-25.5643
87,3,-25.5728
88,3,-25.5789
89,3,-25.5826
90,3,-22.4456
-90,4,-26.1451
-89,4,-28.97
-88,4,-28.9622
-87,4,-28.949
-86,4,-28.9307
-85,4,-28.9072
-84,4,-28.8785
