Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-11.0408
-89,0,-11.0408
-88,0,-11.0408
-87,0,-11.0408
-86,0,-11.0408
-85,0,-11.0408
-84,0,-11.0408
-83,0,-11.0408
-82,0,-11.0408
-81,0,-11.0408
-80,0,-11.0408
-79,0,-11.0408
-78,0,-11.0408
-77,0,-11.0408
-76,0,-11.0408
-75,0,-11.0408
-74,0,-11.0408
-73,0,-11.0408
-72,0,-11.0408
-71,0,-11.0408
-70,0,-11.0408
-69,0,-11.0408
-68,0,-11.0408
-67,0,-11.0408
-66,0,-11.0408
-65,0,-11.0408
-64,0,-11.0408
-63,0,-11.0408
-62,0,-11.0408
-61,0,-11.0408
-60,0,-11.0408
-59,0,-11.0408
-58,0,-11.0408
-57,0,-11.0408
-56,0,-11.0408
-55,0,-11.0408
-54,0,-11.0408
-53,0,-11.0408
-52,0,-11.0408
-51,0,-11.0408
-50,0,-11.0408
-49,0,-11.0408
-48,0,-11.0408
-47,0,-11.0408
-46,0,-11.0408
-45,0,-11.0408
-44,0,-11.0408
-43,0,-11.0408
-42,0,-11.0408
-41,0,-11.0408
-40,0,-11.0408
-39,0,-11.0408
-38,0,-11.0408
-37,0,-11.0408
-36,0,-11.0408
-35,0,-11.0408
-34,0,-11.0408
-33,0,-11.0408
-32,0,-11.0408
-31,0,-11.0408
-30,0,-11.0408
-29,0,-11.0408
-28,0,-11.0408
-27,0,-11.0408
-26,0,-11.0408
-25,0,-11.0408
-24,0,-11.0408
-23,0,-11.0408
-22,0,-11.0408
-21,0,-11.0408
-20,0,-11.0408
-19,0,-11.0408
-18,0,-11.0408
-17,0,-11.0408
-16,0,-11.0408
-15,0,-11.0408
-14,0,-11.0408
-13,0,-11.0408
-12,0,-11.0408
-11,0,-11.0408
-10,0,-11.0408
-9,0,-11.0408
-8,0,-11.0408
-7,0,-11.0408
-6,0,-11.0408
-5,0,-11.0408
-4,0,-11.0408
-3,0,-11.0408
-2,0,-11.0408
-1,0,-11.0408
0,0,-11.0408
1,0,-11.0408
2,0,-11.0408
3,0,-11.0408
4,0,-11.0408
5,0,-11.0408
6,0,-11.0408
7,0,-11.0408
8,0,-11.0408
9,0,-11.0408
10,0,-11.0408
11,0,-11.0408
12,0,-11.0408
13,0,-11.0408
14,0,-11.0408
15,0,-11.0408
16,0,-11.0408
17,0,-11.0408
18,0,-11.0408
19,0,-11.0408
20,0,-11.0408
21,0,-11.0408
22,0,-11.0408
23,0,-11.0408
24,0,-11.0408
25,0,-11.0408
26,0,-11.0408
27,0,-11.0408
28,0,-11.0408
29,0,-11.0408
30,0,-11.0408
31,0,-11.0408
32,0,-11.0408
33,0,-11.0408
34,0,-11.0408
35,0,-11.0408
36,0,-11.0408
37,0,-11.0408
38,0,-11.0408
39,0,-11.0408
40,0,-11.0408
41,0,-11.0408
42,0,-11.0408
43,0,-11.0408
44,0,-11.0408
45,0,-11.0408
46,0,-11.0408
47,0,-11.0408
48,0,-11.0408
49,0,-11.0408
50,0,-11.0408
51,0,-11.0408
52,0,-11.0408
53,0,-11.0408
54,0,-11.0408
55,0,-11.0408
56,0,-11.0408
57,0,-11.0408
58,0,-11.0408
59,0,-11.0408
60,0,-11.0408
61,0,-11.0408
62,0,-11.0408
63,0,-11.0408
64,0,-11.0408
65,0,-11.0408
66,0,-11.0408
67,0,-11.0408
68,0,-11.0408
69,0,-11.0408
70,0,-11.0408
71,0,-11.0408
72,0,-11.0408
73,0,-11.0408
74,0,-11.0408
75,0,-11.0408
76,0,-11.0408
77,0,-11.0408
78,0,-11.0408
79,0,-11.0408
80,0,-11.0408
81,0,-11.0408
82,0,-11.0408
83,0,-11.0408
84,0,-11.0408
85,0,-11.0408
86,0,-11.0408
87,0,-11.0408
88,0,-11.0408
89,0,-11.0408
90,0,-4.21097
-90,1,-11.0976
-89,1,-5.13597
-88,1,-5.13572
-87,1,-5.13532
-86,1,-5.13529
-85,1,-5.13551
-84,1,-5.13577
-83,1,-5.13609
-82,1,-5.13645
-81,1,-5.13687
-80,1,-5.13735
-79,1,-5.13787
-78,1,-5.13846
-77,1,-5.13911
-76,1,-5.13982
-75,1,-5.14059
-74,1,-5.14143
-73,1,-5.14233
-72,1,-5.14331
-71,1,-5.14436
-70,1,-5.1455
-69,1,-5.14671
-68,1,-5.148
-67,1,-5.14938
-66,1,-5.15085
-65,1,-5.15242
-64,1,-5.15408
-63,1,-5.15585
-62,1,-5.15771
-61,1,-5.15969
-60,1,-5.16178
-59,1,-5.16399
-58,1,-5.16632
-57,1,-5.16877
-56,1,-5.17135
-55,1,-5.17407
-54,1,-5.17692
-53,1,-5.17992
-52,1,-5.18306
-51,1,-5.18635
-50,1,-5.18979
-49,1,-5.1934
-48,1,-5.19717
-47,1,-5.2011
-46,1,-5.20521
-45,1,-5.20949
