Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-15.0442
-89,0,-15.0442
-88,0,-15.0442
-87,0,-15.0442
-86,0,-15.0442
-85,0,-15.0442
-84,0,-15.0442
-83,0,-15.0442
-82,0,-15.0442
-81,0,-15.0442
-80,0,-15.0442
-79,0,-15.0442
-78,0,-15.0442
-77,0,-15.0442
-76,0,-15.0442
-75,0,-15.0442
-74,0,-15.0442
-73,0,-15.0442
-72,0,-15.0442
-71,0,-15.0442
-70,0,-15.0442
-69,0,-15.0442
-68,0,-15.0442
-67,0,-15.0442
-66,0,-15.0442
-65,0,-15.0442
-64,0,-15.0442
-63,0,-15.0442
-62,0,-15.0442
-61,0,-15.0442
-60,0,-15.0442
-59,0,-15.0442
-58,0,-15.0442
-57,0,-15.0442
-56,0,-15.0442
-55,0,-15.0442
-54,0,-15.0442
-53,0,-15.0442
-52,0,-15.0442
-51,0,-15.0442
-50,0,-15.0442
-49,0,-15.0442
-48,0,-15.0442
-47,0,-15.0442
-46,0,-15.0442
-45,0,-15.0442
-44,0,-15.0442
-43,0,-15.0442
-42,0,-15.0442
-41,0,-15.0442
-40,0,-15.0442
-39,0,-15.0442
-38,0,-15.0442
-37,0,-15.0442
-36,0,-15.0442
-35,0,-15.0442
-34,0,-15.0442
-33,0,-15.0442
-32,0,-15.0442
-31,0,-15.0442
-30,0,-15.0442
-29,0,-15.0442
-28,0,-15.0442
-27,0,-15.0442
-26,0,-15.0442
-25,0,-15.0442
-24,0,-15.0442
-23,0,-15.0442
-22,0,-15.0442
-21,0,-15.0442
-20,0,-15.0442
-19,0,-15.0442
-18,0,-15.0442
-17,0,-15.0442
-16,0,-15.0442
-15,0,-15.0442
-14,0,-15.0442
-13,0,-15.0442
-12,0,-15.0442
-11,0,-15.0442
-10,0,-15.0442
-9,0,-15.0442
-8,0,-15.0442
-7,0,-15.0442
-6,0,-15.0442
-5,0,-15.0442
-4,0,-15.0442
-3,0,-15.0442
-2,0,-15.0442
-1,0,-15.0442
0,0,-15.0442
1,0,-15.0442
2,0,-15.0442
3,0,-15.0442
4,0,-15.0442
5,0,-15.0442
6,0,-15.0442
7,0,-15.0442
8,0,-15.0442
9,0,-15.0442
10,0,-15.0442
11,0,-15.0442
12,0,-15.0442
13,0,-15.0442
14,0,-15.0442
15,0,-15.0442
16,0,-15.0442
17,0,-15.0442
18,0,-15.0442
19,0,-15.0442
20,0,-15.0442
21,0,-15.0442
22,0,-15.0442
23,0,-15.0442
24,0,-15.0442
25,0,-15.0442
26,0,-15.0442
27,0,-15.0442
28,0,-15.0442
29,0,-15.0442
30,0,-15.0442
31,0,-15.0442
32,0,-15.0442
33,0,-15.0442
34,0,-15.0442
35,0,-15.0442
36,0,-15.0442
37,0,-15.0442
38,0,-15.0442
39,0,-15.0442
40,0,-15.0442
41,0,-15.0442
42,0,-15.0442
43,0,-15.0442
44,0,-15.0442
45,0,-15.0442
46,0,-15.0442
47,0,-15.0442
48,0,-15.0442
49,0,-15.0442
50,0,-15.0442
51,0,-15.0442
52,0,-15.0442
53,0,-15.0442
54,0,-15.0442
55,0,-15.0442
56,0,-15.0442
57,0,-15.0442
58,0,-15.0442
59,0,-15.0442
60,0,-15.0442
61,0,-15.0442
62,0,-15.0442
63,0,-15.0442
64,0,-15.0442
65,0,-15.0442
66,0,-15.0442
67,0,-15.0442
68,0,-15.0442
69,0,-15.0442
70,0,-15.0442
71,0,-15.0442
72,0,-15.0442
73,0,-15.0442
74,0,-15.0442
75,0,-15.0442
76,0,-15.0442
77,0,-15.0442
78,0,-15.0442
79,0,-15.0442
80,0,-15.0442
81,0,-15.0442
82,0,-15.0442
83,0,-15.0442
84,0,-15.0442
85,0,-15.0442
86,0,-15.0442
87,0,-15.0442
88,0,-15.0442
89,0,-15.0442
90,0,-15.0442
-90,1,-22.2087
-89,1,-22.2195
-88,1,-22.225
-87,1,-22.2252
-86,1,-22.2202
-85,1,-22.2099
-84,1,-22.1943
-83,1,-22.1736
-82,1,-22.1477
-81,1,-22.1167
-80,1,-22.0807
-79,1,-22.0397
-78,1,-21.9938
-77,1,-21.943
-76,1,-21.8875
-75,1,-21.8273
-74,1,-21.7626
-73,1,-21.6934
-72,1,-21.6199
-71,1,-21.5422
-70,1,-21.4603
-69,1,-21.3744
-68,1,-21.2847
-67,1,-21.1913
