Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,0.116579
-89,0,0.116579
-88,0,0.116579
-87,0,0.116579
-86,0,0.116579
-85,0,0.116579
-84,0,0.116579
-83,0,0.116579
-82,0,0.116579
-81,0,0.116579
-80,0,0.116579
-79,0,0.116579
-78,0,0.116579
-77,0,0.116579
-76,0,0.116579
-75,0,0.116579
-74,0,0.116579
-73,0,0.116579
-72,0,0.116579
-71,0,0.116579
-70,0,0.116579
-69,0,0.116579
-68,0,0.116579
-67,0,0.116579
-66,0,0.116579
-65,0,0.116579
-64,0,0.116579
-63,0,0.116579
-62,0,0.116579
-61,0,0.116579
-60,0,0.116579
-59,0,0.116579
-58,0,0.116579
-57,0,0.116579
-56,0,0.116579
-55,0,0.116579
-54,0,0.116579
-53,0,0.116579
-52,0,0.116579
-51,0,0.116579
-50,0,0.116579
-49,0,0.116579
-48,0,0.116579
-47,0,0.116579
-46,0,0.116579
-45,0,0.116579
-44,0,0.116579
-43,0,0.116579
-42,0,0.116579
-41,0,0.116579
-40,0,0.116579
-39,0,0.116579
-38,0,0.116579
-37,0,0.116579
-36,0,0.116579
-35,0,0.116579
-34,0,0.116579
-33,0,0.116579
-32,0,0.116579
-31,0,0.116579
-30,0,0.116579
-29,0,0.116579
-28,0,0.116579
-27,0,0.116579
-26,0,0.116579
-25,0,0.116579
-24,0,0.116579
-23,0,0.116579
-22,0,0.116579
-21,0,0.116579
-20,0,0.116579
-19,0,0.116579
-18,0,0.116579
-17,0,0.116579
-16,0,0.116579
-15,0,0.116579
-14,0,0.116579
-13,0,0.116579
-12,0,0.116579
-11,0,0.116579
-10,0,0.116579
-9,0,0.116579
-8,0,0.116579
-7,0,0.116579
-6,0,0.116579
-5,0,0.116579
-4,0,0.116579
-3,0,0.116579
-2,0,0.116579
-1,0,0.116579
0,0,0.116579
1,0,0.116579
2,0,0.116579
3,0,0.116579
4,0,0.116579
5,0,0.116579
6,0,0.116579
7,0,0.116579
8,0,0.116579
9,0,0.116579
10,0,0.116579
11,0,0.116579
12,0,0.116579
13,0,0.116579
14,0,0.116579
15,0,0.116579
16,0,0.116579
17,0,0.116579
18,0,0.116579
19,0,0.116579
20,0,0.116579
21,0,0.116579
22,0,0.116579
23,0,0.116579
24,0,0.116579
25,0,0.116579
26,0,0.116579
27,0,0.116579
28,0,0.116579
29,0,0.116579
30,0,0.116579
31,0,0.116579
32,0,0.116579
33,0,0.116579
34,0,0.116579
35,0,0.116579
36,0,0.116579
37,0,0.116579
38,0,0.116579
39,0,0.116579
40,0,0.116579
41,0,0.116579
42,0,0.116579
43,0,0.116579
44,0,0.116579
45,0,0.116579
