Phi[deg],Theta[deg],dB(RCSTotal)
-90,0,-28.1324
-89,0,-28.1324
-88,0,-28.1324
-87,0,-28.1324
-86,0,-28.1324
-85,0,-28.1324
-84,0,-28.1324
-83,0,-28.1324
-82,0,-28.1324
-81,0,-28.1324
-80,0,-28.1324
-79,0,-28.1324
-78,0,-28.1324
-77,0,-28.1324
-76,0,-28.1324
-75,0,-28.1324
-74,0,-28.1324
-73,0,-28.1324
-72,0,-28.1324
-71,0,-28.1324
-70,0,-28.1324
-69,0,-28.1324
-68,0,-28.1324
-67,0,-28.1324
-66,0,-28.1324
-65,0,-28.1324
-64,0,-28.1324
-63,0,-28.1324
-62,0,-28.1324
-61,0,-28.1324
-60,0,-28.1324
-59,0,-28.1324
-58,0,-28.1324
-57,0,-28.1324
-56,0,-28.1324
-55,0,-28.1324
-54,0,-28.1324
-53,0,-28.1324
-52,0,-28.1324
-51,0,-28.1324
-50,0,-28.1324
-49,0,-28.1324
-48,0,-28.1324
-47,0,-28.1324
-46,0,-28.1324
-45,0,-28.1324
-44,0,-28.1324
-43,0,-28.1324
-42,0,-28.1324
-41,0,-28.1324
-40,0,-28.1324
-39,0,-28.1324
-38,0,-28.1324
-37,0,-28.1324
-36,0,-28.1324
-35,0,-28.1324
-34,0,-28.1324
-33,0,-28.1324
-32,0,-28.1324
-31,0,-28.1324
-30,0,-28.1324
-29,0,-28.1324
-28,0,-28.1324
-27,0,-28.1324
-26,0,-28.1324
-25,0,-28.1324
-24,0,-28.1324
-23,0,-28.1324
-22,0,-28.1324
-21,0,-28.1324
-20,0,-28.1324
-19,0,-28.1324
-18,0,-28.1324
-17,0,-28.1324
-16,0,-28.1324
-15,0,-28.1324
-14,0,-28.1324
-13,0,-28.1324
-12,0,-28.1324
-11,0,-28.1324
-10,0,-28.1324
-9,0,-28.1324
-8,0,-28.1324
-7,0,-28.1324
-6,0,-28.1324
-5,0,-28.1324
-4,0,-28.1324
-3,0,-28.1324
-2,0,-28.1324
-1,0,-28.1324
0,0,-28.1324
1,0,-28.1324
2,0,-28.1324
3,0,-28.1324
4,0,-28.1324
5,0,-28.1324
6,0,-28.1324
7,0,-28.1324
8,0,-28.1324
9,0,-28.1324
10,0,-28.1324
11,0,-28.1324
12,0,-28.1324
13,0,-28.1324
14,0,-28.1324
15,0,-28.1324
16,0,-28.1324
17,0,-28.1324
18,0,-28.1324
19,0,-28.1324
20,0,-28.1324
21,0,-28.1324
22,0,-28.1324
23,0,-28.1324
24,0,-28.1324
25,0,-28.1324
26,0,-28.1324
27,0,-28.1324
28,0,-28.1324
29,0,-28.1324
30,0,-28.1324
31,0,-28.1324
32,0,-28.1324
33,0,-28.1324
34,0,-28.1324
35,0,-28.1324
36,0,-28.1324
37,0,-28.1324
38,0,-28.1324
39,0,-28.1324
40,0,-28.1324
41,0,-28.1324
42,0,-28.1324
43,0,-28.1324
44,0,-28.1324
45,0,-28.1324
46,0,-28.1324
47,0,-28.1324
48,0,-28.1324
49,0,-28.1324
50,0,-28.1324
51,0,-28.1324
52,0,-28.1324
53,0,-28.1324
54,0,-28.1324
55,0,-28.1324
56,0,-28.1324
57,0,-28.1324
58,0,-28.1324
59,0,-28.1324
60,0,-28.1324
61,0,-28.1324
62,0,-28.1324
63,0,-28.1324
64,0,-28.1324
65,0,-28.1324
66,0,-28.1324
67,0,-28.1324
68,0,-28.1324
69,0,-28.1324
70,0,-28.1324
71,0,-28.1324
72,0,-28.1324
73,0,-28.1324
74,0,-28.1324
75,0,-28.1324
76,0,-28.1324
77,0,-28.1324
78,0,-28.1324
79,0,-28.1324
80,0,-28.1324
81,0,-28.1324
82,0,-28.1324
83,0,-28.1324
84,0,-28.1324
85,0,-28.1324
86,0,-28.1324
87,0,-28.1324
88,0,-28.1324
89,0,-28.1324
90,0,-28.1324
-90,1,-31.8334
-89,1,-31.8233
-88,1,-31.8191
-87,1,-31.8209
-86,1,-31.8287
-85,1,-31.8426
-84,1,-31.8626
-83,1,-31.8888
-82,1,-31.9213
-81,1,-31.9602
-80,1,-32.0057
-79,1,-32.0579
-78,1,-32.1169
-77,1,-32.1829
-76,1,-32.2562
-75,1,-32.3368
-74,1,-32.4251
-73,1,-32.5212
-72,1,-32.6256
-71,1,-32.7384
-70,1,-32.86
-69,1,-32.9908
-68,1,-33.1311
-67,1,-33.2815
-66,1,-33.4423
-65,1,-33.6141
-64,1,-33.7975
-63,1,-33.9931
-62,1,-34.2016
-61,1,-34.4238
-60,1,-34.6605
-59,1,-34.9126
-58,1,-35.1812
-57,1,-35.4674
-56,1,-35.7724
-55,1,-36.0977
-54,1,-36.4447
-53,1,-36.8152
-52,1,-37.211
-51,1,-37.6339
-50,1,-38.0861
-49,1,-38.5697
-48,1,-39.0867
-47,1,-39.6388
-46,1,-40.2269
-45,1,-40.8507
-44,1,-41.5069
-43,1,-42.188
-42,1,-42.879
-41,1,-43.5533
-40,1,-44.169
-39,1,-44.6669
-38,1,-44.9779
-37,1,-45.0424
-36,1,-44.8359
-35,1,-44.3818
-34,1,-43.7392
-33,1,-42.9771
-32,1,-42.1551
-31,1,-41.3157
-30,1,-40.4856
-29,1,-39.6802
-28,1,-38.9073
-27,1,-38.1701
-26,1,-37.4689
-25,1,-36.803
-24,1,-36.1707
-23,1,-35.5699
-22,1,-34.9985
-21,1,-34.4545
-20,1,-33.9359
-19,1,-33.4409
-18,1,-32.9679
-17,1,-32.5152
-16,1,-32.0815
-15,1,-31.6656
-14,1,-31.2662
-13,1,-30.8825
-12,1,-30.5133
-11,1,-30.1579
-10,1,-29.8155
-9,1,-29.4854
-8,1,-29.1669
-7,1,-28.8595
-6,1,-28.5625
-5,1,-28.2756
-4,1,-27.9982
-3,1,-27.7299
-2,1,-27.4703
-1,1,-27.2191
0,1,-26.9759
1,1,-26.6419
2,1,-26.417
3,1,-26.1992
4,1,-25.988
5,1,-25.7835
6,1,-25.5852
7,1,-25.3931
8,1,-25.2069
9,1,-25.0264
10,1,-24.8516
11,1,-24.6821
12,1,-24.5179
13,1,-24.3589
14,1,-24.2048
15,1,-24.0555
16,1,-23.911
17,1,-23.7711
18,1,-23.6357
19,1,-23.5047
20,1,-23.3779
21,1,-23.2553
22,1,-23.1368
23,1,-23.0223
24,1,-22.9117
25,1,-22.8049
26,1,-22.7018
27,1,-22.6024
28,1,-22.5065
29,1,-22.4141
30,1,-22.3251
31,1,-22.2395
32,1,-22.1571
33,1,-22.078
34,1,-22.0019
35,1,-21.929
36,1,-21.859
37,1,-21.792
38,1,-21.7279
39,1,-21.6666
40,1,-21.608
41,1,-21.5522
42,1,-21.499
43,1,-21.4485
44,1,-21.4005
45,1,-21.3549
46,1,-21.3119
47,1,-21.2712
48,1,-21.2328
49,1,-21.1968
50,1,-21.163
51,1,-21.1314
52,1,-21.102
53,1,-21.0746
54,1,-21.0494
55,1,-21.0261
56,1,-21.0049
57,1,-20.9855
58,1,-20.9681
59,1,-20.9525
60,1,-20.9388
61,1,-20.9268
62,1,-20.9166
63,1,-20.9081
64,1,-20.9012
65,1,-20.896
66,1,-20.8923
67,1,-20.8902
68,1,-20.8897
69,1,-20.8906
70,1,-20.8931
71,1,-20.8969
72,1,-20.9022
73,1,-20.9088
74,1,-20.9168
75,1,-20.9261
76,1,-20.9366
77,1,-20.9485
78,1,-20.9616
79,1,-20.9759
80,1,-20.9914
81,1,-21.0081
82,1,-21.0259
83,1,-21.0449
84,1,-21.065
85,1,-21.0862
86,1,-21.1084
87,1,-21.1318
